GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
190.0,80.0,200704,156.73,31.5,0.0,19267584,"{'mac': 262.78, 'psum_spad': 3374.83, 'weights_spad': 2788.46, 'ifmap_spad': 929.28, 'shared_glb': 150.46, 'DRAM': 628.61, 'Total': 8134.42}",ConvNeXt_00
127.99,53.33,39337984,21081.3,829000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3501.54, 'weights_spad': 2830.75, 'ifmap_spad': 1109.99, 'shared_glb': 350.02, 'DRAM': 318.38, 'Total': 8373.47}",ConvNeXt_01
15.86,6.67,392,0.08,3.19e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 16653.06, 'Total': 25953.97}",ConvNeXt_02
15.86,6.67,392,0.08,3.19e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 16653.06, 'Total': 25953.97}",ConvNeXt_03
127.99,53.33,39337984,21081.3,829000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3501.54, 'weights_spad': 2830.75, 'ifmap_spad': 1109.99, 'shared_glb': 350.02, 'DRAM': 318.38, 'Total': 8373.47}",ConvNeXt_04
15.86,6.67,392,0.08,3.19e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 16653.06, 'Total': 25953.97}",ConvNeXt_05
15.86,6.67,392,0.08,3.19e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 16653.06, 'Total': 25953.97}",ConvNeXt_06
127.99,53.33,39337984,21081.3,829000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3501.54, 'weights_spad': 2830.75, 'ifmap_spad': 1109.99, 'shared_glb': 350.02, 'DRAM': 318.38, 'Total': 8373.47}",ConvNeXt_07
15.86,6.67,392,0.08,3.19e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 16653.06, 'Total': 25953.97}",ConvNeXt_08
15.86,6.67,392,0.08,3.19e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 16653.06, 'Total': 25953.97}",ConvNeXt_09
111.89,46.67,1835008,935.94,1720.0,0.0,102760448,"{'mac': 262.78, 'psum_spad': 4142.5, 'weights_spad': 2577.01, 'ifmap_spad': 961.71, 'shared_glb': 452.86, 'DRAM': 711.1, 'Total': 9107.95}",ConvNeXt_10
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_100
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_101
111.97,46.67,1835008,876.73,1610.0,0.0,102760448,"{'mac': 262.78, 'psum_spad': 3600.9, 'weights_spad': 2830.75, 'ifmap_spad': 968.77, 'shared_glb': 525.3, 'DRAM': 343.27, 'Total': 8531.78}",ConvNeXt_102
112.0,46.67,44957696,20006.76,899000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2830.75, 'ifmap_spad': 925.4, 'shared_glb': 74.79, 'DRAM': 335.65, 'Total': 7946.66}",ConvNeXt_103
