GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
334.86,50.0,702464,1228.52,863.0,0.0,118013952,"{'mac': 262.78, 'psum_spad': 3561.35, 'weights_spad': 2495.07, 'ifmap_spad': 920.1, 'shared_glb': 259.08, 'DRAM': 2911.56, 'Total': 10409.95}",Resnet18_00
307.67,45.82,750848,990.45,744.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3657.26, 'weights_spad': 2578.84, 'ifmap_spad': 983.51, 'shared_glb': 409.37, 'DRAM': 675.74, 'Total': 8567.49}",Resnet18_01
307.67,45.82,750848,990.45,744.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3657.26, 'weights_spad': 2578.84, 'ifmap_spad': 983.51, 'shared_glb': 409.37, 'DRAM': 675.74, 'Total': 8567.49}",Resnet18_02
307.67,45.82,750848,990.45,744.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3657.26, 'weights_spad': 2578.84, 'ifmap_spad': 983.51, 'shared_glb': 409.37, 'DRAM': 675.74, 'Total': 8567.49}",Resnet18_03
307.67,45.82,750848,990.45,744.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3657.26, 'weights_spad': 2578.84, 'ifmap_spad': 983.51, 'shared_glb': 409.37, 'DRAM': 675.74, 'Total': 8567.49}",Resnet18_04
335.71,50.0,344064,467.87,161.0,0.0,57802752,"{'mac': 262.78, 'psum_spad': 3435.31, 'weights_spad': 2830.75, 'ifmap_spad': 997.02, 'shared_glb': 148.02, 'DRAM': 420.35, 'Total': 8094.23}",Resnet18_05
447.81,66.67,516096,1257.18,649.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3513.03, 'weights_spad': 4860.7, 'ifmap_spad': 924.64, 'shared_glb': 79.18, 'DRAM': 1234.41, 'Total': 10874.74}",Resnet18_06
406.4,60.95,31360,55.9,1.75,0.0,6422528,"{'mac': 262.78, 'psum_spad': 3496.33, 'weights_spad': 2577.38, 'ifmap_spad': 1011.26, 'shared_glb': 315.67, 'DRAM': 1040.82, 'Total': 8704.24}",Resnet18_07
447.81,66.67,516096,1257.18,649.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3513.03, 'weights_spad': 4860.7, 'ifmap_spad': 924.64, 'shared_glb': 79.18, 'DRAM': 1234.41, 'Total': 10874.74}",Resnet18_08
447.81,66.67,516096,1257.18,649.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3513.03, 'weights_spad': 4860.7, 'ifmap_spad': 924.64, 'shared_glb': 79.18, 'DRAM': 1234.41, 'Total': 10874.74}",Resnet18_09
335.85,50.0,344064,688.39,237.0,0.0,57802752,"{'mac': 262.78, 'psum_spad': 3411.85, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 80.61, 'DRAM': 2331.63, 'Total': 11909.29}",Resnet18_10
335.93,50.0,688128,890.8,613.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3461.9, 'weights_spad': 2661.59, 'ifmap_spad': 987.6, 'shared_glb': 136.34, 'DRAM': 195.29, 'Total': 7705.51}",Resnet18_11
223.12,33.33,57344,58.77,3.37,0.0,6422528,"{'mac': 262.78, 'psum_spad': 3496.21, 'weights_spad': 2661.59, 'ifmap_spad': 1011.14, 'shared_glb': 305.84, 'DRAM': 1413.27, 'Total': 9150.81}",Resnet18_12
335.93,50.0,688128,890.8,613.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3461.9, 'weights_spad': 2661.59, 'ifmap_spad': 987.6, 'shared_glb': 136.34, 'DRAM': 195.29, 'Total': 7705.51}",Resnet18_13
335.93,50.0,688128,890.8,613.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3461.9, 'weights_spad': 2661.59, 'ifmap_spad': 987.6, 'shared_glb': 136.34, 'DRAM': 195.29, 'Total': 7705.51}",Resnet18_14
167.96,25.0,688128,530.76,365.0,0.0,57802752,"{'mac': 262.78, 'psum_spad': 3782.54, 'weights_spad': 2830.75, 'ifmap_spad': 961.71, 'shared_glb': 248.98, 'DRAM': 1095.52, 'Total': 9182.29}",Resnet18_15
167.98,25.0,1376256,1010.24,1390.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3664.04, 'weights_spad': 2830.75, 'ifmap_spad': 954.65, 'shared_glb': 182.83, 'DRAM': 843.68, 'Total': 8738.73}",Resnet18_16
111.78,16.67,114688,54.34,6.23,0.0,6422528,"{'mac': 262.78, 'psum_spad': 3397.35, 'weights_spad': 2830.75, 'ifmap_spad': 961.71, 'shared_glb': 168.3, 'DRAM': 840.56, 'Total': 8461.46}",Resnet18_17
167.98,25.0,1376256,1010.24,1390.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3664.04, 'weights_spad': 2830.75, 'ifmap_spad': 954.65, 'shared_glb': 182.83, 'DRAM': 843.68, 'Total': 8738.73}",Resnet18_18
167.98,25.0,1376256,1010.24,1390.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3664.04, 'weights_spad': 2830.75, 'ifmap_spad': 954.65, 'shared_glb': 182.83, 'DRAM': 843.68, 'Total': 8738.73}",Resnet18_19
19.98,2.98,51200,21.35,1.09,0.0,512000,"{'mac': 262.78, 'psum_spad': 3397.75, 'weights_spad': 4860.7, 'ifmap_spad': 1011.14, 'shared_glb': 62.61, 'DRAM': 32095.0, 'Total': 41689.97}",Resnet18_20
