GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
332.5,100.0,114688,175.28,20.1,0.0,19267584,"{'mac': 262.78, 'psum_spad': 3374.83, 'weights_spad': 2640.44, 'ifmap_spad': 961.71, 'shared_glb': 193.3, 'DRAM': 1664.33, 'Total': 9097.4}",ConvNeXt_00
223.98,66.67,22478848,22097.28,497000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3515.66, 'weights_spad': 2788.46, 'ifmap_spad': 1109.99, 'shared_glb': 360.32, 'DRAM': 739.8, 'Total': 8777.01}",ConvNeXt_01
15.86,4.76,392,0.24,9.29e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 66285.71, 'Total': 75586.62}",ConvNeXt_02
15.86,4.76,392,0.24,9.29e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 66285.71, 'Total': 75586.62}",ConvNeXt_03
223.98,66.67,22478848,22097.28,497000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3515.66, 'weights_spad': 2788.46, 'ifmap_spad': 1109.99, 'shared_glb': 360.32, 'DRAM': 739.8, 'Total': 8777.01}",ConvNeXt_04
15.86,4.76,392,0.24,9.29e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 66285.71, 'Total': 75586.62}",ConvNeXt_05
15.86,4.76,392,0.24,9.29e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 66285.71, 'Total': 75586.62}",ConvNeXt_06
223.98,66.67,22478848,22097.28,497000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3515.66, 'weights_spad': 2788.46, 'ifmap_spad': 1109.99, 'shared_glb': 360.32, 'DRAM': 739.8, 'Total': 8777.01}",ConvNeXt_07
15.86,4.76,392,0.24,9.29e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 66285.71, 'Total': 75586.62}",ConvNeXt_08
15.86,4.76,392,0.24,9.29e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 66285.71, 'Total': 75586.62}",ConvNeXt_09
