GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
608.0,40.0,62720,325.75,20.4,0.0,19267584,"{'mac': 262.78, 'psum_spad': 3344.92, 'weights_spad': 4861.08, 'ifmap_spad': 937.13, 'shared_glb': 193.0, 'DRAM': 7307.48, 'Total': 16906.38}",ConvNeXt_00
895.93,58.33,5619712,40625.06,228000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3453.2, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 128.44, 'DRAM': 6469.39, 'Total': 16136.23}",ConvNeXt_01
15.86,1.04,392,0.44,0.000174,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 132571.43, 'Total': 141872.34}",ConvNeXt_02
15.86,1.04,392,0.44,0.000174,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 132571.43, 'Total': 141872.34}",ConvNeXt_03
895.93,58.33,5619712,40625.06,228000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3453.2, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 128.44, 'DRAM': 6469.39, 'Total': 16136.23}",ConvNeXt_04
15.86,1.04,392,0.44,0.000174,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 132571.43, 'Total': 141872.34}",ConvNeXt_05
15.86,1.04,392,0.44,0.000174,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 132571.43, 'Total': 141872.34}",ConvNeXt_06
895.93,58.33,5619712,40625.06,228000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3453.2, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 128.44, 'DRAM': 6469.39, 'Total': 16136.23}",ConvNeXt_07
15.86,1.04,392,0.44,0.000174,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 132571.43, 'Total': 141872.34}",ConvNeXt_08
15.86,1.04,392,0.44,0.000174,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 132571.43, 'Total': 141872.34}",ConvNeXt_09
447.56,29.17,458752,1015.02,466.0,0.0,102760448,"{'mac': 262.78, 'psum_spad': 3589.27, 'weights_spad': 2830.75, 'ifmap_spad': 940.53, 'shared_glb': 279.73, 'DRAM': 1974.49, 'Total': 9877.56}",ConvNeXt_10
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_100
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_101
111.97,7.29,1835008,1306.49,2400.0,0.0,102760448,"{'mac': 262.78, 'psum_spad': 4192.35, 'weights_spad': 2830.75, 'ifmap_spad': 1011.14, 'shared_glb': 1089.09, 'DRAM': 3327.81, 'Total': 12713.92}",ConvNeXt_102
112.0,7.29,44957696,25922.02,1170000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2830.75, 'ifmap_spad': 925.4, 'shared_glb': 74.79, 'DRAM': 2685.18, 'Total': 10296.2}",ConvNeXt_103
13.0,0.91,7,0.01,6.42e-08,0.0,49,"{'mac': 262.78, 'psum_spad': 1582.97, 'weights_spad': 5554.51, 'ifmap_spad': 1268.37, 'shared_glb': 948.96, 'DRAM': 177632.65, 'Total': 187250.25}",ConvNeXt_104
13.0,0.91,7,0.01,6.42e-08,0.0,49,"{'mac': 262.78, 'psum_spad': 1582.97, 'weights_spad': 5554.51, 'ifmap_spad': 1268.37, 'shared_glb': 948.96, 'DRAM': 177632.65, 'Total': 187250.25}",ConvNeXt_105
112.0,7.29,44957696,25922.02,1170000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2830.75, 'ifmap_spad': 925.4, 'shared_glb': 74.79, 'DRAM': 2685.18, 'Total': 10296.2}",ConvNeXt_106
13.0,0.91,7,0.01,6.42e-08,0.0,49,"{'mac': 262.78, 'psum_spad': 1582.97, 'weights_spad': 5554.51, 'ifmap_spad': 1268.37, 'shared_glb': 948.96, 'DRAM': 177632.65, 'Total': 187250.25}",ConvNeXt_107
13.0,0.91,7,0.01,6.42e-08,0.0,49,"{'mac': 262.78, 'psum_spad': 1582.97, 'weights_spad': 5554.51, 'ifmap_spad': 1268.37, 'shared_glb': 948.96, 'DRAM': 177632.65, 'Total': 187250.25}",ConvNeXt_108
112.0,7.29,44957696,25922.02,1170000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2830.75, 'ifmap_spad': 925.4, 'shared_glb': 74.79, 'DRAM': 2685.18, 'Total': 10296.2}",ConvNeXt_109
348.73,22.7,14438145,21145.61,305000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3503.82, 'weights_spad': 2662.73, 'ifmap_spad': 1098.27, 'shared_glb': 321.01, 'DRAM': 550.4, 'Total': 8399.01}",ConvNeXt_11
13.0,0.91,7,0.01,6.42e-08,0.0,49,"{'mac': 262.78, 'psum_spad': 1582.97, 'weights_spad': 5554.51, 'ifmap_spad': 1268.37, 'shared_glb': 948.96, 'DRAM': 177632.65, 'Total': 187250.25}",ConvNeXt_110
13.0,0.91,7,0.01,6.42e-08,0.0,49,"{'mac': 262.78, 'psum_spad': 1582.97, 'weights_spad': 5554.51, 'ifmap_spad': 1268.37, 'shared_glb': 948.96, 'DRAM': 177632.65, 'Total': 187250.25}",ConvNeXt_111
19.99,1.3,102400,141.13,14.5,0.0,1024000,"{'mac': 262.78, 'psum_spad': 3404.39, 'weights_spad': 4860.7, 'ifmap_spad': 991.37, 'shared_glb': 53.46, 'DRAM': 128253.0, 'Total': 137825.7}",ConvNeXt_112
15.71,1.04,98,0.11,1.13e-05,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 137142.86, 'Total': 146625.52}",ConvNeXt_12
15.71,1.04,98,0.11,1.13e-05,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 137142.86, 'Total': 146625.52}",ConvNeXt_13
348.73,22.7,14438145,21145.61,305000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3503.82, 'weights_spad': 2662.73, 'ifmap_spad': 1098.27, 'shared_glb': 321.01, 'DRAM': 550.4, 'Total': 8399.01}",ConvNeXt_14
15.71,1.04,98,0.11,1.13e-05,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 137142.86, 'Total': 146625.52}",ConvNeXt_15
15.71,1.04,98,0.11,1.13e-05,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 137142.86, 'Total': 146625.52}",ConvNeXt_16
348.73,22.7,14438145,21145.61,305000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3503.82, 'weights_spad': 2662.73, 'ifmap_spad': 1098.27, 'shared_glb': 321.01, 'DRAM': 550.4, 'Total': 8399.01}",ConvNeXt_17
15.71,1.04,98,0.11,1.13e-05,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 137142.86, 'Total': 146625.52}",ConvNeXt_18
15.71,1.04,98,0.11,1.13e-05,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 137142.86, 'Total': 146625.52}",ConvNeXt_19
208.99,13.61,982912,1154.14,1130.0,0.0,102760448,"{'mac': 262.78, 'psum_spad': 3497.16, 'weights_spad': 2661.87, 'ifmap_spad': 1300.73, 'shared_glb': 434.84, 'DRAM': 3073.98, 'Total': 11231.36}",ConvNeXt_20
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_21
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_22
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_23
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_24
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_25
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_26
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_27
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_28
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_29
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_30
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_31
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_32
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_33
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_34
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_35
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_36
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_37
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_38
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_39
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_40
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_41
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_42
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_43
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_44
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_45
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_46
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_47
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_48
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_49
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_50
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_51
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_52
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_53
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_54
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_55
