GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
223.24,14.58,1053696,1014.46,1070.0,0.0,118013952,"{'mac': 262.78, 'psum_spad': 3457.02, 'weights_spad': 2534.71, 'ifmap_spad': 1037.36, 'shared_glb': 222.57, 'DRAM': 1081.62, 'Total': 8596.08}",Resnet18_00
1020.08,66.47,226464,1585.68,359.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3420.51, 'weights_spad': 4861.97, 'ifmap_spad': 995.38, 'shared_glb': 96.02, 'DRAM': 4079.65, 'Total': 13716.32}",Resnet18_01
1020.08,66.47,226464,1585.68,359.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3420.51, 'weights_spad': 4861.97, 'ifmap_spad': 995.38, 'shared_glb': 96.02, 'DRAM': 4079.65, 'Total': 13716.32}",Resnet18_02
1020.08,66.47,226464,1585.68,359.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3420.51, 'weights_spad': 4861.97, 'ifmap_spad': 995.38, 'shared_glb': 96.02, 'DRAM': 4079.65, 'Total': 13716.32}",Resnet18_03
1020.08,66.47,226464,1585.68,359.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3420.51, 'weights_spad': 4861.97, 'ifmap_spad': 995.38, 'shared_glb': 96.02, 'DRAM': 4079.65, 'Total': 13716.32}",Resnet18_04
335.71,21.88,344064,540.76,186.0,0.0,57802752,"{'mac': 262.78, 'psum_spad': 3435.31, 'weights_spad': 2830.75, 'ifmap_spad': 997.02, 'shared_glb': 148.02, 'DRAM': 1681.41, 'Total': 9355.29}",Resnet18_05
447.81,29.17,516096,1685.29,870.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3513.03, 'weights_spad': 4860.7, 'ifmap_spad': 924.64, 'shared_glb': 79.18, 'DRAM': 4937.64, 'Total': 14577.97}",Resnet18_06
406.4,26.67,31360,75.96,2.38,0.0,6422528,"{'mac': 262.78, 'psum_spad': 3496.33, 'weights_spad': 2577.38, 'ifmap_spad': 1011.26, 'shared_glb': 315.67, 'DRAM': 4163.27, 'Total': 11826.69}",Resnet18_07
447.81,29.17,516096,1685.29,870.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3513.03, 'weights_spad': 4860.7, 'ifmap_spad': 924.64, 'shared_glb': 79.18, 'DRAM': 4937.64, 'Total': 14577.97}",Resnet18_08
447.81,29.17,516096,1685.29,870.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3513.03, 'weights_spad': 4860.7, 'ifmap_spad': 924.64, 'shared_glb': 79.18, 'DRAM': 4937.64, 'Total': 14577.97}",Resnet18_09
335.85,21.88,344064,1092.71,376.0,0.0,57802752,"{'mac': 262.78, 'psum_spad': 3411.85, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 80.61, 'DRAM': 9326.53, 'Total': 18904.19}",Resnet18_10
335.93,21.88,688128,958.53,660.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3461.9, 'weights_spad': 2661.59, 'ifmap_spad': 987.6, 'shared_glb': 136.34, 'DRAM': 781.18, 'Total': 8291.39}",Resnet18_11
223.12,14.58,57344,86.0,4.93,0.0,6422528,"{'mac': 262.78, 'psum_spad': 3496.21, 'weights_spad': 2661.59, 'ifmap_spad': 1011.14, 'shared_glb': 305.84, 'DRAM': 5653.06, 'Total': 13390.61}",Resnet18_12
335.93,21.88,688128,958.53,660.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3461.9, 'weights_spad': 2661.59, 'ifmap_spad': 987.6, 'shared_glb': 136.34, 'DRAM': 781.18, 'Total': 8291.39}",Resnet18_13
335.93,21.88,688128,958.53,660.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3461.9, 'weights_spad': 2661.59, 'ifmap_spad': 987.6, 'shared_glb': 136.34, 'DRAM': 781.18, 'Total': 8291.39}",Resnet18_14
167.96,10.94,688128,720.73,496.0,0.0,57802752,"{'mac': 262.78, 'psum_spad': 3782.54, 'weights_spad': 2830.75, 'ifmap_spad': 961.71, 'shared_glb': 248.98, 'DRAM': 4382.09, 'Total': 12468.85}",Resnet18_15
167.98,10.94,1376256,1289.43,1770.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3929.86, 'weights_spad': 2830.75, 'ifmap_spad': 933.47, 'shared_glb': 464.98, 'DRAM': 2731.86, 'Total': 11153.69}",Resnet18_16
111.78,7.29,114688,70.54,8.09,0.0,6422528,"{'mac': 262.78, 'psum_spad': 3397.35, 'weights_spad': 2830.75, 'ifmap_spad': 961.71, 'shared_glb': 168.3, 'DRAM': 3362.24, 'Total': 10983.14}",Resnet18_17
167.98,10.94,1376256,1289.43,1770.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3929.86, 'weights_spad': 2830.75, 'ifmap_spad': 933.47, 'shared_glb': 464.98, 'DRAM': 2731.86, 'Total': 11153.69}",Resnet18_18
167.98,10.94,1376256,1289.43,1770.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3929.86, 'weights_spad': 2830.75, 'ifmap_spad': 933.47, 'shared_glb': 464.98, 'DRAM': 2731.86, 'Total': 11153.69}",Resnet18_19
19.98,1.3,51200,70.64,3.62,0.0,512000,"{'mac': 262.78, 'psum_spad': 3397.75, 'weights_spad': 4860.7, 'ifmap_spad': 1011.14, 'shared_glb': 62.61, 'DRAM': 128378.0, 'Total': 137972.97}",Resnet18_20
