GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
223.85,14.58,1032192,954.36,985.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3468.26, 'weights_spad': 2661.59, 'ifmap_spad': 937.88, 'shared_glb': 102.26, 'DRAM': 822.52, 'Total': 8255.29}",ViT_00
23.98,1.56,9682944,1133.92,11000.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 2149.75, 'Total': 9758.7}",ViT_01
23.98,1.56,9682944,1133.92,11000.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 2149.75, 'Total': 9758.7}",ViT_02
23.98,1.56,9682944,1133.92,11000.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 2149.75, 'Total': 9758.7}",ViT_03
15.96,1.04,18912,4.13,0.0781,0.0,151296,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.78, 'ifmap_spad': 1703.1, 'shared_glb': 4341.16, 'DRAM': 13316.41, 'Total': 27282.45}",ViT_04
1.99,0.13,465708,13.0,6.05,0.0,465708,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.79, 'ifmap_spad': 1703.1, 'shared_glb': 6316.32, 'DRAM': 11966.98, 'Total': 27908.19}",ViT_05
23.98,1.56,9682944,1133.92,11000.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 2149.75, 'Total': 9758.7}",ViT_06
23.98,1.56,38731776,4169.09,161000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3593.7, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 349.33, 'DRAM': 1149.75, 'Total': 8970.0}",ViT_07
24.0,1.56,38731776,4097.06,159000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3599.24, 'weights_spad': 2504.45, 'ifmap_spad': 1011.14, 'shared_glb': 246.01, 'DRAM': 1191.41, 'Total': 8815.03}",ViT_08
23.98,1.56,9682944,1133.92,11000.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 2149.75, 'Total': 9758.7}",ViT_09
