GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
223.85,66.67,1032192,906.81,936.0,0.0,115605504,"{'mac': 262.78, 'psum_spad': 3468.26, 'weights_spad': 2661.59, 'ifmap_spad': 937.88, 'shared_glb': 102.26, 'DRAM': 411.26, 'Total': 7844.03}",ViT_00
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_01
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_02
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_03
15.96,4.76,18912,3.12,0.059,0.0,151296,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.78, 'ifmap_spad': 1703.1, 'shared_glb': 4341.16, 'DRAM': 6659.9, 'Total': 20625.94}",ViT_04
1.99,0.6,465708,10.21,4.76,0.0,465708,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.79, 'ifmap_spad': 1703.1, 'shared_glb': 6316.32, 'DRAM': 5985.14, 'Total': 21926.35}",ViT_05
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_06
23.98,7.14,38731776,3901.9,151000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3593.7, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 349.33, 'DRAM': 574.87, 'Total': 8395.13}",ViT_07
24.0,7.14,38731776,3805.94,147000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3598.13, 'weights_spad': 2504.45, 'ifmap_spad': 961.71, 'shared_glb': 182.55, 'DRAM': 679.04, 'Total': 8188.66}",ViT_08
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_09
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_10
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_11
15.96,4.76,18912,3.12,0.059,0.0,151296,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.78, 'ifmap_spad': 1703.1, 'shared_glb': 4341.16, 'DRAM': 6659.9, 'Total': 20625.94}",ViT_12
1.99,0.6,465708,10.21,4.76,0.0,465708,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.79, 'ifmap_spad': 1703.1, 'shared_glb': 6316.32, 'DRAM': 5985.14, 'Total': 21926.35}",ViT_13
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_14
23.98,7.14,38731776,3901.9,151000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3593.7, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 349.33, 'DRAM': 574.87, 'Total': 8395.13}",ViT_15
24.0,7.14,38731776,3805.94,147000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3598.13, 'weights_spad': 2504.45, 'ifmap_spad': 961.71, 'shared_glb': 182.55, 'DRAM': 679.04, 'Total': 8188.66}",ViT_16
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_17
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_18
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_19
15.96,4.76,18912,3.12,0.059,0.0,151296,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.78, 'ifmap_spad': 1703.1, 'shared_glb': 4341.16, 'DRAM': 6659.9, 'Total': 20625.94}",ViT_20
1.99,0.6,465708,10.21,4.76,0.0,465708,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.79, 'ifmap_spad': 1703.1, 'shared_glb': 6316.32, 'DRAM': 5985.14, 'Total': 21926.35}",ViT_21
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_22
23.98,7.14,38731776,3901.9,151000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3593.7, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 349.33, 'DRAM': 574.87, 'Total': 8395.13}",ViT_23
24.0,7.14,38731776,3805.94,147000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3598.13, 'weights_spad': 2504.45, 'ifmap_spad': 961.71, 'shared_glb': 182.55, 'DRAM': 679.04, 'Total': 8188.66}",ViT_24
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_25
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_26
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_27
15.96,4.76,18912,3.12,0.059,0.0,151296,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.78, 'ifmap_spad': 1703.1, 'shared_glb': 4341.16, 'DRAM': 6659.9, 'Total': 20625.94}",ViT_28
1.99,0.6,465708,10.21,4.76,0.0,465708,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.79, 'ifmap_spad': 1703.1, 'shared_glb': 6316.32, 'DRAM': 5985.14, 'Total': 21926.35}",ViT_29
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_30
23.98,7.14,38731776,3901.9,151000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3593.7, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 349.33, 'DRAM': 574.87, 'Total': 8395.13}",ViT_31
24.0,7.14,38731776,3805.94,147000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3598.13, 'weights_spad': 2504.45, 'ifmap_spad': 961.71, 'shared_glb': 182.55, 'DRAM': 679.04, 'Total': 8188.66}",ViT_32
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_33
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_34
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_35
15.96,4.76,18912,3.12,0.059,0.0,151296,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.78, 'ifmap_spad': 1703.1, 'shared_glb': 4341.16, 'DRAM': 6659.9, 'Total': 20625.94}",ViT_36
1.99,0.6,465708,10.21,4.76,0.0,465708,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.79, 'ifmap_spad': 1703.1, 'shared_glb': 6316.32, 'DRAM': 5985.14, 'Total': 21926.35}",ViT_37
