total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
115605504.0,115454976.0,231060480.0,742875.0,1244.15,"{'Total scalar accesses': 237533184.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 117964800.0, 'Op per Byte': 1.96}","{'Total scalar accesses': 119390208.0, 'Op per Byte': 1.94}",{},{},"{'Total scalar accesses': 7057632.0, 'Op per Byte': 32.74}","{'Total scalar accesses': 2280672.0, 'Op per Byte': 405.25}",23.98,50.0,9633792.0,887.19,8550.0,0.0,115605504.0,262.78,3490.42,2540.76,938.18,126.52,315.65,7674.3,ViT_00
116195328.0,116044032.0,232239360.0,892416.0,1040.95,"{'Total scalar accesses': 245099520.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 154927104.0, 'Op per Byte': 1.5}",{},{},"{'Total scalar accesses': 44027136.0, 'Op per Byte': 5.27}","{'Total scalar accesses': 1800192.0, 'Op per Byte': 516.03}",11.99,25.0,19365888.0,1001.14,19400.0,0.0,116195328.0,262.78,3575.98,2504.45,1175.89,849.02,247.88,8616.0,ViT_01
116195328.0,116044032.0,232239360.0,892416.0,1040.95,"{'Total scalar accesses': 245099520.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 154927104.0, 'Op per Byte': 1.5}",{},{},"{'Total scalar accesses': 44027136.0, 'Op per Byte': 5.27}","{'Total scalar accesses': 1800192.0, 'Op per Byte': 516.03}",11.99,25.0,19365888.0,1001.14,19400.0,0.0,116195328.0,262.78,3575.98,2504.45,1175.89,849.02,247.88,8616.0,ViT_02
116195328.0,116044032.0,232239360.0,892416.0,1040.95,"{'Total scalar accesses': 245099520.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 154927104.0, 'Op per Byte': 1.5}",{},{},"{'Total scalar accesses': 44027136.0, 'Op per Byte': 5.27}","{'Total scalar accesses': 1800192.0, 'Op per Byte': 516.03}",11.99,25.0,19365888.0,1001.14,19400.0,0.0,116195328.0,262.78,3575.98,2504.45,1175.89,849.02,247.88,8616.0,ViT_03
151296.0,150528.0,301824.0,15740.0,76.7,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 163904.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 160752.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 306552.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 15740.0, 'Op per Byte': 76.7}",7.98,16.67,37824.0,2.22,0.0838,0.0,151296.0,262.78,4969.22,2689.78,961.71,4093.32,1664.97,14641.79,ViT_04
465708.0,463344.0,929052.0,43537.0,85.36,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 504517.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 931416.0, 'Op per Byte': 1.0}",{},{},"{'Total scalar accesses': 1397124.0, 'Op per Byte': 0.66}","{'Total scalar accesses': 43537.0, 'Op per Byte': 85.36}",1.99,4.17,465708.0,8.12,3.78,0.0,465708.0,262.78,4969.22,2689.79,1703.1,6316.32,1496.29,17437.49,ViT_05
116195328.0,116044032.0,232239360.0,892416.0,1040.95,"{'Total scalar accesses': 245099520.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 154927104.0, 'Op per Byte': 1.5}",{},{},"{'Total scalar accesses': 44027136.0, 'Op per Byte': 5.27}","{'Total scalar accesses': 1800192.0, 'Op per Byte': 516.03}",11.99,25.0,19365888.0,1001.14,19400.0,0.0,116195328.0,262.78,3575.98,2504.45,1175.89,849.02,247.88,8616.0,ViT_06
464781312.0,464176128.0,928957440.0,3115776.0,1192.59,"{'Total scalar accesses': 946507776.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 580976640.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 59459328.0, 'Op per Byte': 15.62}","{'Total scalar accesses': 6746880.0, 'Op per Byte': 550.75}",11.99,25.0,77463552.0,3648.73,283000.0,0.0,464781312.0,262.78,3461.9,2504.45,1109.99,279.05,232.26,7850.42,ViT_07
464781312.0,464630016.0,929411328.0,3115776.0,1193.17,"{'Total scalar accesses': 958308864.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 580976640.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 82607616.0, 'Op per Byte': 11.25}","{'Total scalar accesses': 12496128.0, 'Op per Byte': 297.5}",12.0,25.0,77463552.0,3800.78,294000.0,0.0,464781312.0,262.78,3502.61,2504.45,1109.99,367.56,430.18,8177.56,ViT_08
116195328.0,116044032.0,232239360.0,892416.0,1040.95,"{'Total scalar accesses': 245099520.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 154927104.0, 'Op per Byte': 1.5}",{},{},"{'Total scalar accesses': 44027136.0, 'Op per Byte': 5.27}","{'Total scalar accesses': 1800192.0, 'Op per Byte': 516.03}",11.99,25.0,19365888.0,1001.14,19400.0,0.0,116195328.0,262.78,3575.98,2504.45,1175.89,849.02,247.88,8616.0,ViT_09
