total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
19267584.0,18866176.0,38133760.0,417995.0,91.23,"{'Total scalar accesses': 36929536.0, 'Op per Byte': 0.52}","{'Total scalar accesses': 19869696.0, 'Op per Byte': 1.92}","{'Total scalar accesses': 21374976.0, 'Op per Byte': 1.78}",{},{},"{'Total scalar accesses': 1067024.0, 'Op per Byte': 35.74}","{'Total scalar accesses': 626192.0, 'Op per Byte': 60.9}",221.67,87.5,172032.0,178.66,30.7,0.0,19267584.0,262.78,3253.04,2566.43,998.78,111.75,2080.0,9272.78,ConvNeXt_00
2517630976.0,2517229568.0,5034860544.0,1696256.0,2968.22,"{'Total scalar accesses': 5393317888.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 2697461760.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 3031433216.0, 'Op per Byte': 1.66}",{},{},"{'Total scalar accesses': 432005120.0, 'Op per Byte': 11.65}","{'Total scalar accesses': 34611200.0, 'Op per Byte': 145.47}",223.98,87.5,22478848.0,22305.83,501000.0,0.0,2517630976.0,262.78,3629.72,2661.59,1073.68,352.24,879.84,8859.85,ConvNeXt_01
3136.0,3080.0,6216.0,3248.0,1.91,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",31.71,12.5,196.0,0.24,4.66e-05,0.0,3136.0,262.78,3144.59,4860.7,944.57,104.06,66489.8,75806.49,ConvNeXt_02
3136.0,3080.0,6216.0,3248.0,1.91,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",31.71,12.5,196.0,0.24,4.66e-05,0.0,3136.0,262.78,3144.59,4860.7,944.57,104.06,66489.8,75806.49,ConvNeXt_03
2517630976.0,2517229568.0,5034860544.0,1696256.0,2968.22,"{'Total scalar accesses': 5393317888.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 2697461760.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 3031433216.0, 'Op per Byte': 1.66}",{},{},"{'Total scalar accesses': 432005120.0, 'Op per Byte': 11.65}","{'Total scalar accesses': 34611200.0, 'Op per Byte': 145.47}",223.98,87.5,22478848.0,22305.83,501000.0,0.0,2517630976.0,262.78,3629.72,2661.59,1073.68,352.24,879.84,8859.85,ConvNeXt_04
3136.0,3080.0,6216.0,3248.0,1.91,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",31.71,12.5,196.0,0.24,4.66e-05,0.0,3136.0,262.78,3144.59,4860.7,944.57,104.06,66489.8,75806.49,ConvNeXt_05
3136.0,3080.0,6216.0,3248.0,1.91,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",31.71,12.5,196.0,0.24,4.66e-05,0.0,3136.0,262.78,3144.59,4860.7,944.57,104.06,66489.8,75806.49,ConvNeXt_06
2517630976.0,2517229568.0,5034860544.0,1696256.0,2968.22,"{'Total scalar accesses': 5393317888.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 2697461760.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 3031433216.0, 'Op per Byte': 1.66}",{},{},"{'Total scalar accesses': 432005120.0, 'Op per Byte': 11.65}","{'Total scalar accesses': 34611200.0, 'Op per Byte': 145.47}",223.98,87.5,22478848.0,22305.83,501000.0,0.0,2517630976.0,262.78,3629.72,2661.59,1073.68,352.24,879.84,8859.85,ConvNeXt_07
3136.0,3080.0,6216.0,3248.0,1.91,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",31.71,12.5,196.0,0.24,4.66e-05,0.0,3136.0,262.78,3144.59,4860.7,944.57,104.06,66489.8,75806.49,ConvNeXt_08
3136.0,3080.0,6216.0,3248.0,1.91,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",31.71,12.5,196.0,0.24,4.66e-05,0.0,3136.0,262.78,3144.59,4860.7,944.57,104.06,66489.8,75806.49,ConvNeXt_09
102760448.0,102559744.0,205320192.0,439424.0,467.25,"{'Total scalar accesses': 210337792.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 117440512.0, 'Op per Byte': 1.75}","{'Total scalar accesses': 161480704.0, 'Op per Byte': 1.27}",{},{},"{'Total scalar accesses': 17952768.0, 'Op per Byte': 11.44}","{'Total scalar accesses': 2560000.0, 'Op per Byte': 80.2}",204.24,79.86,1005313.0,1019.16,1020.0,0.0,102760448.0,262.78,3477.25,2831.13,1364.31,387.96,1594.39,9917.83,ConvNeXt_10
196.0,182.0,378.0,224.0,1.69,"{'Total scalar accesses': 196.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 392.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 210.0, 'Op per Byte': 1.8}",{},{},"{'Total scalar accesses': 42.0, 'Op per Byte': 9.0}","{'Total scalar accesses': 224.0, 'Op per Byte': 1.69}",27.0,10.94,14.0,0.02,2.32e-07,0.0,196.0,262.78,1582.97,4860.7,1025.26,474.48,76408.16,84614.36,ConvNeXt_100
196.0,182.0,378.0,224.0,1.69,"{'Total scalar accesses': 196.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 392.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 210.0, 'Op per Byte': 1.8}",{},{},"{'Total scalar accesses': 42.0, 'Op per Byte': 9.0}","{'Total scalar accesses': 224.0, 'Op per Byte': 1.69}",27.0,10.94,14.0,0.02,2.32e-07,0.0,196.0,262.78,1582.97,4860.7,1025.26,474.48,76408.16,84614.36,ConvNeXt_101
102760448.0,102710272.0,205470720.0,2180096.0,94.25,"{'Total scalar accesses': 217563136.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 117440512.0, 'Op per Byte': 1.75}","{'Total scalar accesses': 109182976.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 6405120.0, 'Op per Byte': 32.08}","{'Total scalar accesses': 2180096.0, 'Op per Byte': 94.25}",223.95,87.5,917504.0,938.82,861.0,0.0,102760448.0,262.78,3589.27,2830.75,961.71,133.66,1357.79,9135.96,ConvNeXt_102
2517630976.0,2517580800.0,5035211776.0,51603456.0,97.58,"{'Total scalar accesses': 5214289920.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2877292544.0, 'Op per Byte': 1.75}","{'Total scalar accesses': 2601123840.0, 'Op per Byte': 1.94}",{},{},"{'Total scalar accesses': 86827008.0, 'Op per Byte': 57.99}","{'Total scalar accesses': 51603456.0, 'Op per Byte': 97.58}",224.0,87.5,22478848.0,22495.09,506000.0,0.0,2517630976.0,262.78,3517.29,2830.75,938.51,73.89,1311.8,8935.02,ConvNeXt_103
49.0,42.0,91.0,63.0,1.44,"{'Total scalar accesses': 49.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 56.0, 'Op per Byte': 1.62}",{},{},"{'Total scalar accesses': 21.0, 'Op per Byte': 4.33}","{'Total scalar accesses': 63.0, 'Op per Byte': 1.44}",13.0,5.47,7.0,0.01,3.82e-08,0.0,49.0,262.78,1582.97,5554.51,1268.37,948.96,101877.55,111495.14,ConvNeXt_104
49.0,42.0,91.0,63.0,1.44,"{'Total scalar accesses': 49.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 56.0, 'Op per Byte': 1.62}",{},{},"{'Total scalar accesses': 21.0, 'Op per Byte': 4.33}","{'Total scalar accesses': 63.0, 'Op per Byte': 1.44}",13.0,5.47,7.0,0.01,3.82e-08,0.0,49.0,262.78,1582.97,5554.51,1268.37,948.96,101877.55,111495.14,ConvNeXt_105
2517630976.0,2517580800.0,5035211776.0,51603456.0,97.58,"{'Total scalar accesses': 5214289920.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2877292544.0, 'Op per Byte': 1.75}","{'Total scalar accesses': 2601123840.0, 'Op per Byte': 1.94}",{},{},"{'Total scalar accesses': 86827008.0, 'Op per Byte': 57.99}","{'Total scalar accesses': 51603456.0, 'Op per Byte': 97.58}",224.0,87.5,22478848.0,22495.09,506000.0,0.0,2517630976.0,262.78,3517.29,2830.75,938.51,73.89,1311.8,8935.02,ConvNeXt_106
49.0,42.0,91.0,63.0,1.44,"{'Total scalar accesses': 49.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 56.0, 'Op per Byte': 1.62}",{},{},"{'Total scalar accesses': 21.0, 'Op per Byte': 4.33}","{'Total scalar accesses': 63.0, 'Op per Byte': 1.44}",13.0,5.47,7.0,0.01,3.82e-08,0.0,49.0,262.78,1582.97,5554.51,1268.37,948.96,101877.55,111495.14,ConvNeXt_107
49.0,42.0,91.0,63.0,1.44,"{'Total scalar accesses': 49.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 56.0, 'Op per Byte': 1.62}",{},{},"{'Total scalar accesses': 21.0, 'Op per Byte': 4.33}","{'Total scalar accesses': 63.0, 'Op per Byte': 1.44}",13.0,5.47,7.0,0.01,3.82e-08,0.0,49.0,262.78,1582.97,5554.51,1268.37,948.96,101877.55,111495.14,ConvNeXt_108
2517630976.0,2517580800.0,5035211776.0,51603456.0,97.58,"{'Total scalar accesses': 5214289920.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2877292544.0, 'Op per Byte': 1.75}","{'Total scalar accesses': 2601123840.0, 'Op per Byte': 1.94}",{},{},"{'Total scalar accesses': 86827008.0, 'Op per Byte': 57.99}","{'Total scalar accesses': 51603456.0, 'Op per Byte': 97.58}",224.0,87.5,22478848.0,22495.09,506000.0,0.0,2517630976.0,262.78,3517.29,2830.75,938.51,73.89,1311.8,8935.02,ConvNeXt_109
2517630976.0,2517430272.0,5035061248.0,3707904.0,1357.93,"{'Total scalar accesses': 5214289920.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2607546368.0, 'Op per Byte': 1.93}","{'Total scalar accesses': 2954362880.0, 'Op per Byte': 1.7}",{},{},"{'Total scalar accesses': 235927552.0, 'Op per Byte': 21.34}","{'Total scalar accesses': 14751744.0, 'Op per Byte': 341.32}",223.99,87.5,22478848.0,20081.11,451000.0,0.0,2517630976.0,262.78,3517.29,2577.01,1049.47,194.65,375.0,7976.19,ConvNeXt_11
49.0,42.0,91.0,63.0,1.44,"{'Total scalar accesses': 49.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 56.0, 'Op per Byte': 1.62}",{},{},"{'Total scalar accesses': 21.0, 'Op per Byte': 4.33}","{'Total scalar accesses': 63.0, 'Op per Byte': 1.44}",13.0,5.47,7.0,0.01,3.82e-08,0.0,49.0,262.78,1582.97,5554.51,1268.37,948.96,101877.55,111495.14,ConvNeXt_110
49.0,42.0,91.0,63.0,1.44,"{'Total scalar accesses': 49.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 56.0, 'Op per Byte': 1.62}",{},{},"{'Total scalar accesses': 21.0, 'Op per Byte': 4.33}","{'Total scalar accesses': 63.0, 'Op per Byte': 1.44}",13.0,5.47,7.0,0.01,3.82e-08,0.0,49.0,262.78,1582.97,5554.51,1268.37,948.96,101877.55,111495.14,ConvNeXt_111
1024000.0,1023000.0,2047000.0,1026024.0,2.0,"{'Total scalar accesses': 2080000.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 2048000.0, 'Op per Byte': 1.0}","{'Total scalar accesses': 1025024.0, 'Op per Byte': 2.0}",{},{},"{'Total scalar accesses': 9048.0, 'Op per Byte': 226.24}","{'Total scalar accesses': 1026024.0, 'Op per Byte': 2.0}",31.98,12.5,64000.0,75.4,4.83,0.0,1024000.0,262.78,3450.53,4860.7,913.08,17.96,64126.88,73631.92,ConvNeXt_112
