total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
19267584.0,18866176.0,38133760.0,417995.0,22.81,"{'Total scalar accesses': 40140800.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 21676032.0, 'Op per Byte': 1.76}","{'Total scalar accesses': 20471808.0, 'Op per Byte': 1.86}",{},{},"{'Total scalar accesses': 3162992.0, 'Op per Byte': 12.06}","{'Total scalar accesses': 797552.0, 'Op per Byte': 11.95}",110.83,42.42,344064.0,355.8,122.0,0.0,19267584.0,262.78,3526.65,2788.46,961.71,329.72,10596.78,18466.11,ConvNeXt_00
2517630976.0,2517229568.0,5034860544.0,1696256.0,742.05,"{'Total scalar accesses': 5208670208.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2540109824.0, 'Op per Byte': 1.98}","{'Total scalar accesses': 3147038720.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 677265920.0, 'Op per Byte': 7.43}","{'Total scalar accesses': 9724416.0, 'Op per Byte': 129.44}",111.99,42.42,44957696.0,22646.13,1020000.0,0.0,2517630976.0,262.78,3513.49,2513.57,1109.99,606.37,988.81,8995.02,ConvNeXt_01
3136.0,3080.0,6216.0,3248.0,0.48,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.48}",15.86,6.06,392.0,0.86,0.000338,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,265959.18,275260.09,ConvNeXt_02
3136.0,3080.0,6216.0,3248.0,0.48,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.48}",15.86,6.06,392.0,0.86,0.000338,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,265959.18,275260.09,ConvNeXt_03
2517630976.0,2517229568.0,5034860544.0,1696256.0,742.05,"{'Total scalar accesses': 5208670208.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2540109824.0, 'Op per Byte': 1.98}","{'Total scalar accesses': 3147038720.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 677265920.0, 'Op per Byte': 7.43}","{'Total scalar accesses': 9724416.0, 'Op per Byte': 129.44}",111.99,42.42,44957696.0,22646.13,1020000.0,0.0,2517630976.0,262.78,3513.49,2513.57,1109.99,606.37,988.81,8995.02,ConvNeXt_04
3136.0,3080.0,6216.0,3248.0,0.48,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.48}",15.86,6.06,392.0,0.86,0.000338,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,265959.18,275260.09,ConvNeXt_05
3136.0,3080.0,6216.0,3248.0,0.48,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.48}",15.86,6.06,392.0,0.86,0.000338,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,265959.18,275260.09,ConvNeXt_06
2517630976.0,2517229568.0,5034860544.0,1696256.0,742.05,"{'Total scalar accesses': 5208670208.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2540109824.0, 'Op per Byte': 1.98}","{'Total scalar accesses': 3147038720.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 677265920.0, 'Op per Byte': 7.43}","{'Total scalar accesses': 9724416.0, 'Op per Byte': 129.44}",111.99,42.42,44957696.0,22646.13,1020000.0,0.0,2517630976.0,262.78,3513.49,2513.57,1109.99,606.37,988.81,8995.02,ConvNeXt_07
3136.0,3080.0,6216.0,3248.0,0.48,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.48}",15.86,6.06,392.0,0.86,0.000338,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,265959.18,275260.09,ConvNeXt_08
3136.0,3080.0,6216.0,3248.0,0.48,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.48}",15.86,6.06,392.0,0.86,0.000338,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,265959.18,275260.09,ConvNeXt_09
102760448.0,102559744.0,205320192.0,439424.0,116.81,"{'Total scalar accesses': 217563136.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 115605504.0, 'Op per Byte': 1.78}","{'Total scalar accesses': 154140672.0, 'Op per Byte': 1.33}",{},{},"{'Total scalar accesses': 27145216.0, 'Op per Byte': 7.56}","{'Total scalar accesses': 5096448.0, 'Op per Byte': 10.07}",111.89,42.42,1835008.0,2179.08,4000.0,0.0,102760448.0,262.78,3589.27,2788.46,1307.69,560.77,12696.46,21205.44,ConvNeXt_10
