total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
19267584.0,18866176.0,38133760.0,417995.0,45.62,"{'Total scalar accesses': 38535168.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 20471808.0, 'Op per Byte': 1.86}","{'Total scalar accesses': 20471808.0, 'Op per Byte': 1.86}",{},{},"{'Total scalar accesses': 1819965.0, 'Op per Byte': 20.95}","{'Total scalar accesses': 501053.0, 'Op per Byte': 38.05}",110.83,33.33,344064.0,207.74,71.5,0.0,19267584.0,262.78,3394.85,2640.44,961.71,193.37,3328.66,10781.81,ConvNeXt_00
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 5211881472.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2832334848.0, 'Op per Byte': 1.78}","{'Total scalar accesses': 3147038720.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 410439680.0, 'Op per Byte': 12.27}","{'Total scalar accesses': 29102080.0, 'Op per Byte': 86.5}",223.98,66.67,22478848.0,23959.82,539000.0,0.0,2517630976.0,262.78,3515.66,2788.46,1109.99,360.32,1479.59,9516.81,ConvNeXt_01
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,4.76,392.0,0.44,0.000174,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,132571.43,141872.34,ConvNeXt_02
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,4.76,392.0,0.44,0.000174,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,132571.43,141872.34,ConvNeXt_03
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 5211881472.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2832334848.0, 'Op per Byte': 1.78}","{'Total scalar accesses': 3147038720.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 410439680.0, 'Op per Byte': 12.27}","{'Total scalar accesses': 29102080.0, 'Op per Byte': 86.5}",223.98,66.67,22478848.0,23959.82,539000.0,0.0,2517630976.0,262.78,3515.66,2788.46,1109.99,360.32,1479.59,9516.81,ConvNeXt_04
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,4.76,392.0,0.44,0.000174,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,132571.43,141872.34,ConvNeXt_05
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,4.76,392.0,0.44,0.000174,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,132571.43,141872.34,ConvNeXt_06
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 5211881472.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2832334848.0, 'Op per Byte': 1.78}","{'Total scalar accesses': 3147038720.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 410439680.0, 'Op per Byte': 12.27}","{'Total scalar accesses': 29102080.0, 'Op per Byte': 86.5}",223.98,66.67,22478848.0,23959.82,539000.0,0.0,2517630976.0,262.78,3515.66,2788.46,1109.99,360.32,1479.59,9516.81,ConvNeXt_07
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,4.76,392.0,0.44,0.000174,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,132571.43,141872.34,ConvNeXt_08
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,4.76,392.0,0.44,0.000174,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,132571.43,141872.34,ConvNeXt_09
