total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
118013952.0,117211136.0,235225088.0,853996.0,137.72,"{'Total scalar accesses': 240041984.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 120121344.0, 'Op per Byte': 1.96}","{'Total scalar accesses': 136679424.0, 'Op per Byte': 1.72}",{},{},"{'Total scalar accesses': 12813688.0, 'Op per Byte': 18.36}","{'Total scalar accesses': 997240.0, 'Op per Byte': 117.94}",223.24,66.67,1053696.0,1014.46,1070.0,0.0,118013952.0,262.78,3457.02,2534.71,1037.36,222.57,1081.62,8596.08,Resnet18_00
115605504.0,115404800.0,231010304.0,452864.0,255.05,"{'Total scalar accesses': 266534912.0, 'Op per Byte': 0.43}","{'Total scalar accesses': 130056192.0, 'Op per Byte': 1.78}","{'Total scalar accesses': 118616064.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 14350336.0, 'Op per Byte': 16.1}","{'Total scalar accesses': 3540992.0, 'Op per Byte': 32.62}",223.81,66.67,1032192.0,1392.16,1440.0,0.0,115605504.0,262.78,3884.8,2788.46,932.88,252.79,3920.63,12042.34,Resnet18_01
115605504.0,115404800.0,231010304.0,452864.0,255.05,"{'Total scalar accesses': 266534912.0, 'Op per Byte': 0.43}","{'Total scalar accesses': 130056192.0, 'Op per Byte': 1.78}","{'Total scalar accesses': 118616064.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 14350336.0, 'Op per Byte': 16.1}","{'Total scalar accesses': 3540992.0, 'Op per Byte': 32.62}",223.81,66.67,1032192.0,1392.16,1440.0,0.0,115605504.0,262.78,3884.8,2788.46,932.88,252.79,3920.63,12042.34,Resnet18_02
115605504.0,115404800.0,231010304.0,452864.0,255.05,"{'Total scalar accesses': 266534912.0, 'Op per Byte': 0.43}","{'Total scalar accesses': 130056192.0, 'Op per Byte': 1.78}","{'Total scalar accesses': 118616064.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 14350336.0, 'Op per Byte': 16.1}","{'Total scalar accesses': 3540992.0, 'Op per Byte': 32.62}",223.81,66.67,1032192.0,1392.16,1440.0,0.0,115605504.0,262.78,3884.8,2788.46,932.88,252.79,3920.63,12042.34,Resnet18_03
115605504.0,115404800.0,231010304.0,452864.0,255.05,"{'Total scalar accesses': 266534912.0, 'Op per Byte': 0.43}","{'Total scalar accesses': 130056192.0, 'Op per Byte': 1.78}","{'Total scalar accesses': 118616064.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 14350336.0, 'Op per Byte': 16.1}","{'Total scalar accesses': 3540992.0, 'Op per Byte': 32.62}",223.81,66.67,1032192.0,1392.16,1440.0,0.0,115605504.0,262.78,3884.8,2788.46,932.88,252.79,3920.63,12042.34,Resnet18_04
57802752.0,57702400.0,115505152.0,231680.0,249.28,"{'Total scalar accesses': 134070272.0, 'Op per Byte': 0.43}","{'Total scalar accesses': 66060288.0, 'Op per Byte': 1.75}","{'Total scalar accesses': 63995904.0, 'Op per Byte': 1.8}",{},{},"{'Total scalar accesses': 12904448.0, 'Op per Byte': 8.95}","{'Total scalar accesses': 1165312.0, 'Op per Byte': 49.56}",223.81,66.67,516096.0,638.28,329.0,0.0,57802752.0,262.78,3908.44,2830.75,997.02,462.95,2580.5,11042.43,Resnet18_05
115605504.0,115505152.0,231110656.0,363008.0,318.33,"{'Total scalar accesses': 268943360.0, 'Op per Byte': 0.43}","{'Total scalar accesses': 144506880.0, 'Op per Byte': 1.6}","{'Total scalar accesses': 119218176.0, 'Op per Byte': 1.94}",{},{},"{'Total scalar accesses': 21434368.0, 'Op per Byte': 10.78}","{'Total scalar accesses': 2625536.0, 'Op per Byte': 44.01}",223.9,66.67,1032192.0,1328.18,1370.0,0.0,115605504.0,262.78,3920.25,3084.49,937.0,377.32,2907.03,11488.88,Resnet18_06
6422528.0,6322176.0,12744704.0,158720.0,40.15,"{'Total scalar accesses': 15253504.0, 'Op per Byte': 0.42}","{'Total scalar accesses': 8028160.0, 'Op per Byte': 1.59}","{'Total scalar accesses': 7225344.0, 'Op per Byte': 1.76}",{},{},"{'Total scalar accesses': 1956864.0, 'Op per Byte': 6.51}","{'Total scalar accesses': 265216.0, 'Op per Byte': 24.03}",184.73,55.41,68992.0,91.55,6.32,0.0,6422528.0,262.78,3983.23,3085.31,1011.41,625.44,5285.71,14253.89,Resnet18_07
115605504.0,115505152.0,231110656.0,363008.0,318.33,"{'Total scalar accesses': 268943360.0, 'Op per Byte': 0.43}","{'Total scalar accesses': 144506880.0, 'Op per Byte': 1.6}","{'Total scalar accesses': 119218176.0, 'Op per Byte': 1.94}",{},{},"{'Total scalar accesses': 21434368.0, 'Op per Byte': 10.78}","{'Total scalar accesses': 2625536.0, 'Op per Byte': 44.01}",223.9,66.67,1032192.0,1328.18,1370.0,0.0,115605504.0,262.78,3920.25,3084.49,937.0,377.32,2907.03,11488.88,Resnet18_08
115605504.0,115505152.0,231110656.0,363008.0,318.33,"{'Total scalar accesses': 268943360.0, 'Op per Byte': 0.43}","{'Total scalar accesses': 144506880.0, 'Op per Byte': 1.6}","{'Total scalar accesses': 119218176.0, 'Op per Byte': 1.94}",{},{},"{'Total scalar accesses': 21434368.0, 'Op per Byte': 10.78}","{'Total scalar accesses': 2625536.0, 'Op per Byte': 44.01}",223.9,66.67,1032192.0,1328.18,1370.0,0.0,115605504.0,262.78,3920.25,3084.49,937.0,377.32,2907.03,11488.88,Resnet18_09
