total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
19267584.0,18866176.0,38133760.0,417995.0,45.62,"{'Total scalar accesses': 36929536.0, 'Op per Byte': 0.52}","{'Total scalar accesses': 21676032.0, 'Op per Byte': 1.76}","{'Total scalar accesses': 25890816.0, 'Op per Byte': 1.47}",{},{},"{'Total scalar accesses': 1253384.0, 'Op per Byte': 30.42}","{'Total scalar accesses': 597512.0, 'Op per Byte': 31.91}",736.97,72.73,51744.0,223.43,11.6,0.0,19267584.0,262.78,3253.31,2789.28,1184.4,136.71,3969.47,11595.94,ConvNeXt_00
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 5191008256.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2877292544.0, 'Op per Byte': 1.75}","{'Total scalar accesses': 2832334848.0, 'Op per Byte': 1.78}",{},{},"{'Total scalar accesses': 179730432.0, 'Op per Byte': 28.01}","{'Total scalar accesses': 48470016.0, 'Op per Byte': 51.94}",511.96,50.0,9834496.0,25723.75,253000.0,0.0,2517630976.0,262.78,3502.63,2830.75,1011.14,145.86,2464.29,10217.44,ConvNeXt_01
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3360.0, 'Op per Byte': 1.85}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",63.43,6.25,98.0,0.45,4.38e-05,0.0,3136.0,262.78,3144.59,4860.7,976.84,103.88,133224.49,142573.29,ConvNeXt_02
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3360.0, 'Op per Byte': 1.85}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",63.43,6.25,98.0,0.45,4.38e-05,0.0,3136.0,262.78,3144.59,4860.7,976.84,103.88,133224.49,142573.29,ConvNeXt_03
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 5191008256.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2877292544.0, 'Op per Byte': 1.75}","{'Total scalar accesses': 2832334848.0, 'Op per Byte': 1.78}",{},{},"{'Total scalar accesses': 179730432.0, 'Op per Byte': 28.01}","{'Total scalar accesses': 48470016.0, 'Op per Byte': 51.94}",511.96,50.0,9834496.0,25723.75,253000.0,0.0,2517630976.0,262.78,3502.63,2830.75,1011.14,145.86,2464.29,10217.44,ConvNeXt_04
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3360.0, 'Op per Byte': 1.85}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",63.43,6.25,98.0,0.45,4.38e-05,0.0,3136.0,262.78,3144.59,4860.7,976.84,103.88,133224.49,142573.29,ConvNeXt_05
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3360.0, 'Op per Byte': 1.85}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",63.43,6.25,98.0,0.45,4.38e-05,0.0,3136.0,262.78,3144.59,4860.7,976.84,103.88,133224.49,142573.29,ConvNeXt_06
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 5191008256.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2877292544.0, 'Op per Byte': 1.75}","{'Total scalar accesses': 2832334848.0, 'Op per Byte': 1.78}",{},{},"{'Total scalar accesses': 179730432.0, 'Op per Byte': 28.01}","{'Total scalar accesses': 48470016.0, 'Op per Byte': 51.94}",511.96,50.0,9834496.0,25723.75,253000.0,0.0,2517630976.0,262.78,3502.63,2830.75,1011.14,145.86,2464.29,10217.44,ConvNeXt_07
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3360.0, 'Op per Byte': 1.85}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",63.43,6.25,98.0,0.45,4.38e-05,0.0,3136.0,262.78,3144.59,4860.7,976.84,103.88,133224.49,142573.29,ConvNeXt_08
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3360.0, 'Op per Byte': 1.85}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",63.43,6.25,98.0,0.45,4.38e-05,0.0,3136.0,262.78,3144.59,4860.7,976.84,103.88,133224.49,142573.29,ConvNeXt_09
