total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
118013952.0,117211136.0,235225088.0,853996.0,68.86,"{'Total scalar accesses': 248070144.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 120121344.0, 'Op per Byte': 1.96}","{'Total scalar accesses': 136679424.0, 'Op per Byte': 1.72}",{},{},"{'Total scalar accesses': 12813688.0, 'Op per Byte': 18.36}","{'Total scalar accesses': 997240.0, 'Op per Byte': 58.97}",526.37,51.58,446880.0,1154.63,516.0,0.0,118013952.0,262.78,3561.71,2535.81,1037.73,222.55,2163.27,9783.85,Resnet18_00
115605504.0,115404800.0,231010304.0,452864.0,127.53,"{'Total scalar accesses': 232013824.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 1.0}","{'Total scalar accesses': 144506880.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 4861952.0, 'Op per Byte': 47.51}","{'Total scalar accesses': 8704000.0, 'Op per Byte': 6.64}",895.22,87.5,258048.0,3354.17,866.0,0.0,115605504.0,262.78,3414.18,4860.7,1109.99,91.9,19274.39,29013.93,Resnet18_01
115605504.0,115404800.0,231010304.0,452864.0,127.53,"{'Total scalar accesses': 232013824.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 1.0}","{'Total scalar accesses': 144506880.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 4861952.0, 'Op per Byte': 47.51}","{'Total scalar accesses': 8704000.0, 'Op per Byte': 6.64}",895.22,87.5,258048.0,3354.17,866.0,0.0,115605504.0,262.78,3414.18,4860.7,1109.99,91.9,19274.39,29013.93,Resnet18_02
115605504.0,115404800.0,231010304.0,452864.0,127.53,"{'Total scalar accesses': 232013824.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 1.0}","{'Total scalar accesses': 144506880.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 4861952.0, 'Op per Byte': 47.51}","{'Total scalar accesses': 8704000.0, 'Op per Byte': 6.64}",895.22,87.5,258048.0,3354.17,866.0,0.0,115605504.0,262.78,3414.18,4860.7,1109.99,91.9,19274.39,29013.93,Resnet18_03
115605504.0,115404800.0,231010304.0,452864.0,127.53,"{'Total scalar accesses': 232013824.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 1.0}","{'Total scalar accesses': 144506880.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 4861952.0, 'Op per Byte': 47.51}","{'Total scalar accesses': 8704000.0, 'Op per Byte': 6.64}",895.22,87.5,258048.0,3354.17,866.0,0.0,115605504.0,262.78,3414.18,4860.7,1109.99,91.9,19274.39,29013.93,Resnet18_04
57802752.0,57702400.0,115505152.0,231680.0,124.64,"{'Total scalar accesses': 118013952.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 66060288.0, 'Op per Byte': 1.75}","{'Total scalar accesses': 63995904.0, 'Op per Byte': 1.8}",{},{},"{'Total scalar accesses': 3868160.0, 'Op per Byte': 29.86}","{'Total scalar accesses': 759296.0, 'Op per Byte': 38.03}",543.93,53.16,212352.0,639.8,136.0,0.0,57802752.0,262.78,3466.07,2831.69,997.33,148.01,3362.83,11068.72,Resnet18_05
115605504.0,115505152.0,231110656.0,363008.0,159.16,"{'Total scalar accesses': 245260288.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 130056192.0, 'Op per Byte': 1.78}",{},{},"{'Total scalar accesses': 16487424.0, 'Op per Byte': 14.02}","{'Total scalar accesses': 1121280.0, 'Op per Byte': 51.53}",414.02,40.45,558209.0,1191.53,665.0,0.0,115605504.0,262.78,3596.77,2661.91,1011.25,291.14,2483.0,10306.85,Resnet18_06
6422528.0,6322176.0,12744704.0,158720.0,20.07,"{'Total scalar accesses': 12443648.0, 'Op per Byte': 0.51}","{'Total scalar accesses': 6537216.0, 'Op per Byte': 1.95}","{'Total scalar accesses': 6823936.0, 'Op per Byte': 1.87}",{},{},"{'Total scalar accesses': 200704.0, 'Op per Byte': 63.5}","{'Total scalar accesses': 158720.0, 'Op per Byte': 20.07}",889.0,87.5,14336.0,86.3,1.24,0.0,6422528.0,262.78,3290.99,2534.71,961.71,59.19,6326.93,13436.32,Resnet18_07
115605504.0,115505152.0,231110656.0,363008.0,159.16,"{'Total scalar accesses': 245260288.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 130056192.0, 'Op per Byte': 1.78}",{},{},"{'Total scalar accesses': 16487424.0, 'Op per Byte': 14.02}","{'Total scalar accesses': 1121280.0, 'Op per Byte': 51.53}",414.02,40.45,558209.0,1191.53,665.0,0.0,115605504.0,262.78,3596.77,2661.91,1011.25,291.14,2483.0,10306.85,Resnet18_08
115605504.0,115505152.0,231110656.0,363008.0,159.16,"{'Total scalar accesses': 245260288.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 130056192.0, 'Op per Byte': 1.78}",{},{},"{'Total scalar accesses': 16487424.0, 'Op per Byte': 14.02}","{'Total scalar accesses': 1121280.0, 'Op per Byte': 51.53}",414.02,40.45,558209.0,1191.53,665.0,0.0,115605504.0,262.78,3596.77,2661.91,1011.25,291.14,2483.0,10306.85,Resnet18_09
57802752.0,57752576.0,115555328.0,377856.0,76.45,"{'Total scalar accesses': 132464640.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 115605504.0, 'Op per Byte': 1.0}","{'Total scalar accesses': 58705920.0, 'Op per Byte': 1.97}",{},{},"{'Total scalar accesses': 2606080.0, 'Op per Byte': 44.34}","{'Total scalar accesses': 4326400.0, 'Op per Byte': 6.68}",671.71,65.62,172032.0,1685.79,290.0,0.0,57802752.0,262.78,3861.17,4860.7,924.64,94.18,19161.04,29164.51,Resnet18_10
115605504.0,115555328.0,231160832.0,705536.0,81.91,"{'Total scalar accesses': 239640576.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 126615552.0, 'Op per Byte': 1.83}",{},{},"{'Total scalar accesses': 7126016.0, 'Op per Byte': 32.44}","{'Total scalar accesses': 705536.0, 'Op per Byte': 81.91}",591.05,57.73,391104.0,1055.54,413.0,0.0,115605504.0,262.78,3519.12,2662.14,987.79,136.33,1562.38,9130.53,Resnet18_11
6422528.0,6372352.0,12794880.0,108032.0,29.61,"{'Total scalar accesses': 13045760.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 6881280.0, 'Op per Byte': 1.86}","{'Total scalar accesses': 7225344.0, 'Op per Byte': 1.77}",{},{},"{'Total scalar accesses': 451584.0, 'Op per Byte': 28.33}","{'Total scalar accesses': 165888.0, 'Op per Byte': 19.28}",446.25,43.75,28672.0,90.81,2.6,0.0,6422528.0,262.78,3450.53,2661.59,1011.14,140.09,6612.72,14138.85,Resnet18_12
115605504.0,115555328.0,231160832.0,705536.0,81.91,"{'Total scalar accesses': 239640576.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 126615552.0, 'Op per Byte': 1.83}",{},{},"{'Total scalar accesses': 7126016.0, 'Op per Byte': 32.44}","{'Total scalar accesses': 705536.0, 'Op per Byte': 81.91}",591.05,57.73,391104.0,1055.54,413.0,0.0,115605504.0,262.78,3519.12,2662.14,987.79,136.33,1562.38,9130.53,Resnet18_13
115605504.0,115555328.0,231160832.0,705536.0,81.91,"{'Total scalar accesses': 239640576.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 126615552.0, 'Op per Byte': 1.83}",{},{},"{'Total scalar accesses': 7126016.0, 'Op per Byte': 32.44}","{'Total scalar accesses': 705536.0, 'Op per Byte': 81.91}",591.05,57.73,391104.0,1055.54,413.0,0.0,115605504.0,262.78,3519.12,2662.14,987.79,136.33,1562.38,9130.53,Resnet18_14
