total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
19267584.0,18866176.0,38133760.0,417995.0,11.4,"{'Total scalar accesses': 36929536.0, 'Op per Byte': 0.52}","{'Total scalar accesses': 19869696.0, 'Op per Byte': 1.92}","{'Total scalar accesses': 21374976.0, 'Op per Byte': 1.78}",{},{},"{'Total scalar accesses': 1067024.0, 'Op per Byte': 35.74}","{'Total scalar accesses': 626192.0, 'Op per Byte': 7.61}",221.67,87.5,172032.0,459.2,79.0,0.0,19267584.0,262.78,3253.04,2566.43,998.78,111.75,16639.88,23832.66,ConvNeXt_00
2517630976.0,2517229568.0,5034860544.0,1696256.0,371.03,"{'Total scalar accesses': 5393317888.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 2697461760.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 3031433216.0, 'Op per Byte': 1.66}",{},{},"{'Total scalar accesses': 432005120.0, 'Op per Byte': 11.65}","{'Total scalar accesses': 34611200.0, 'Op per Byte': 18.18}",223.98,87.5,22478848.0,37811.65,850000.0,0.0,2517630976.0,262.78,3629.72,2661.59,1073.68,352.24,7038.73,15018.74,ConvNeXt_01
3136.0,3080.0,6216.0,3248.0,0.24,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.24}",31.71,12.5,196.0,1.69,0.000332,0.0,3136.0,262.78,3144.59,4860.7,944.57,104.06,530285.71,539602.41,ConvNeXt_02
3136.0,3080.0,6216.0,3248.0,0.24,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.24}",31.71,12.5,196.0,1.69,0.000332,0.0,3136.0,262.78,3144.59,4860.7,944.57,104.06,530285.71,539602.41,ConvNeXt_03
2517630976.0,2517229568.0,5034860544.0,1696256.0,371.03,"{'Total scalar accesses': 5393317888.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 2697461760.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 3031433216.0, 'Op per Byte': 1.66}",{},{},"{'Total scalar accesses': 432005120.0, 'Op per Byte': 11.65}","{'Total scalar accesses': 34611200.0, 'Op per Byte': 18.18}",223.98,87.5,22478848.0,37811.65,850000.0,0.0,2517630976.0,262.78,3629.72,2661.59,1073.68,352.24,7038.73,15018.74,ConvNeXt_04
3136.0,3080.0,6216.0,3248.0,0.24,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.24}",31.71,12.5,196.0,1.69,0.000332,0.0,3136.0,262.78,3144.59,4860.7,944.57,104.06,530285.71,539602.41,ConvNeXt_05
3136.0,3080.0,6216.0,3248.0,0.24,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.24}",31.71,12.5,196.0,1.69,0.000332,0.0,3136.0,262.78,3144.59,4860.7,944.57,104.06,530285.71,539602.41,ConvNeXt_06
2517630976.0,2517229568.0,5034860544.0,1696256.0,371.03,"{'Total scalar accesses': 5393317888.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 2697461760.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 3031433216.0, 'Op per Byte': 1.66}",{},{},"{'Total scalar accesses': 432005120.0, 'Op per Byte': 11.65}","{'Total scalar accesses': 34611200.0, 'Op per Byte': 18.18}",223.98,87.5,22478848.0,37811.65,850000.0,0.0,2517630976.0,262.78,3629.72,2661.59,1073.68,352.24,7038.73,15018.74,ConvNeXt_07
3136.0,3080.0,6216.0,3248.0,0.24,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.24}",31.71,12.5,196.0,1.69,0.000332,0.0,3136.0,262.78,3144.59,4860.7,944.57,104.06,530285.71,539602.41,ConvNeXt_08
3136.0,3080.0,6216.0,3248.0,0.24,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3248.0, 'Op per Byte': 1.91}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.24}",31.71,12.5,196.0,1.69,0.000332,0.0,3136.0,262.78,3144.59,4860.7,944.57,104.06,530285.71,539602.41,ConvNeXt_09
102760448.0,102559744.0,205320192.0,439424.0,58.41,"{'Total scalar accesses': 210337792.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 117440512.0, 'Op per Byte': 1.75}","{'Total scalar accesses': 161480704.0, 'Op per Byte': 1.27}",{},{},"{'Total scalar accesses': 17952768.0, 'Op per Byte': 11.44}","{'Total scalar accesses': 2560000.0, 'Op per Byte': 10.03}",204.24,79.86,1005313.0,2166.04,2180.0,0.0,102760448.0,262.78,3477.25,2831.13,1364.31,387.96,12755.1,21078.54,ConvNeXt_10
196.0,182.0,378.0,224.0,0.21,"{'Total scalar accesses': 196.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 392.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 210.0, 'Op per Byte': 1.8}",{},{},"{'Total scalar accesses': 42.0, 'Op per Byte': 9.0}","{'Total scalar accesses': 224.0, 'Op per Byte': 0.21}",27.0,10.94,14.0,0.12,1.63e-06,0.0,196.0,262.78,1582.97,4860.7,1025.26,474.48,585142.86,593349.05,ConvNeXt_100
196.0,182.0,378.0,224.0,0.21,"{'Total scalar accesses': 196.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 392.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 210.0, 'Op per Byte': 1.8}",{},{},"{'Total scalar accesses': 42.0, 'Op per Byte': 9.0}","{'Total scalar accesses': 224.0, 'Op per Byte': 0.21}",27.0,10.94,14.0,0.12,1.63e-06,0.0,196.0,262.78,1582.97,4860.7,1025.26,474.48,585142.86,593349.05,ConvNeXt_101
