total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
118013952.0,117211136.0,235225088.0,853996.0,34.43,"{'Total scalar accesses': 230408192.0, 'Op per Byte': 0.51}","{'Total scalar accesses': 118079808.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 119519232.0, 'Op per Byte': 1.97}",{},{},"{'Total scalar accesses': 1702720.0, 'Op per Byte': 138.15}","{'Total scalar accesses': 959488.0, 'Op per Byte': 30.64}",195.33,76.56,1204224.0,1320.4,1590.0,0.0,118013952.0,262.78,3318.11,2493.75,922.37,28.78,4162.71,11188.5,Resnet18_00
115605504.0,115404800.0,231010304.0,452864.0,63.76,"{'Total scalar accesses': 236027904.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 115863552.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 122830848.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 9447680.0, 'Op per Byte': 24.45}","{'Total scalar accesses': 1657088.0, 'Op per Byte': 17.43}",167.85,65.62,1376256.0,1700.06,2340.0,0.0,115605504.0,262.78,3465.76,2497.71,961.71,178.73,7339.0,14705.7,Resnet18_01
115605504.0,115404800.0,231010304.0,452864.0,63.76,"{'Total scalar accesses': 236027904.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 115863552.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 122830848.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 9447680.0, 'Op per Byte': 24.45}","{'Total scalar accesses': 1657088.0, 'Op per Byte': 17.43}",167.85,65.62,1376256.0,1700.06,2340.0,0.0,115605504.0,262.78,3465.76,2497.71,961.71,178.73,7339.0,14705.7,Resnet18_02
115605504.0,115404800.0,231010304.0,452864.0,63.76,"{'Total scalar accesses': 236027904.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 115863552.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 122830848.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 9447680.0, 'Op per Byte': 24.45}","{'Total scalar accesses': 1657088.0, 'Op per Byte': 17.43}",167.85,65.62,1376256.0,1700.06,2340.0,0.0,115605504.0,262.78,3465.76,2497.71,961.71,178.73,7339.0,14705.7,Resnet18_03
115605504.0,115404800.0,231010304.0,452864.0,63.76,"{'Total scalar accesses': 236027904.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 115863552.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 122830848.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 9447680.0, 'Op per Byte': 24.45}","{'Total scalar accesses': 1657088.0, 'Op per Byte': 17.43}",167.85,65.62,1376256.0,1700.06,2340.0,0.0,115605504.0,262.78,3465.76,2497.71,961.71,178.73,7339.0,14705.7,Resnet18_04
57802752.0,57702400.0,115505152.0,231680.0,62.32,"{'Total scalar accesses': 133267456.0, 'Op per Byte': 0.43}","{'Total scalar accesses': 61415424.0, 'Op per Byte': 1.88}","{'Total scalar accesses': 65028096.0, 'Op per Byte': 1.78}",{},{},"{'Total scalar accesses': 8780800.0, 'Op per Byte': 13.15}","{'Total scalar accesses': 1068032.0, 'Op per Byte': 13.52}",223.81,87.5,516096.0,1016.16,524.0,0.0,57802752.0,262.78,3884.8,2640.44,1011.14,320.31,9460.32,17579.79,Resnet18_05
115605504.0,115505152.0,231110656.0,363008.0,79.58,"{'Total scalar accesses': 248872960.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 137625600.0, 'Op per Byte': 1.68}",{},{},"{'Total scalar accesses': 16218112.0, 'Op per Byte': 14.25}","{'Total scalar accesses': 1771520.0, 'Op per Byte': 16.31}",223.9,87.5,1032192.0,1824.74,1880.0,0.0,115605504.0,262.78,3644.83,2661.59,1062.92,306.24,7845.8,15784.16,Resnet18_06
6422528.0,6322176.0,12744704.0,158720.0,10.04,"{'Total scalar accesses': 13045760.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 6537216.0, 'Op per Byte': 1.95}","{'Total scalar accesses': 9633792.0, 'Op per Byte': 1.32}",{},{},"{'Total scalar accesses': 1103872.0, 'Op per Byte': 11.55}","{'Total scalar accesses': 317440.0, 'Op per Byte': 5.02}",222.25,87.5,57344.0,213.26,12.2,0.0,6422528.0,262.78,3450.53,2534.71,1307.69,343.31,25306.12,33205.15,Resnet18_07
115605504.0,115505152.0,231110656.0,363008.0,79.58,"{'Total scalar accesses': 248872960.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 137625600.0, 'Op per Byte': 1.68}",{},{},"{'Total scalar accesses': 16218112.0, 'Op per Byte': 14.25}","{'Total scalar accesses': 1771520.0, 'Op per Byte': 16.31}",223.9,87.5,1032192.0,1824.74,1880.0,0.0,115605504.0,262.78,3644.83,2661.59,1062.92,306.24,7845.8,15784.16,Resnet18_08
115605504.0,115505152.0,231110656.0,363008.0,79.58,"{'Total scalar accesses': 248872960.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 137625600.0, 'Op per Byte': 1.68}",{},{},"{'Total scalar accesses': 16218112.0, 'Op per Byte': 14.25}","{'Total scalar accesses': 1771520.0, 'Op per Byte': 16.31}",223.9,87.5,1032192.0,1824.74,1880.0,0.0,115605504.0,262.78,3644.83,2661.59,1062.92,306.24,7845.8,15784.16,Resnet18_09
