total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
19267584.0,18866176.0,38133760.0,417995.0,364.92,"{'Total scalar accesses': 45760512.0, 'Op per Byte': 0.42}","{'Total scalar accesses': 19464192.0, 'Op per Byte': 1.96}","{'Total scalar accesses': 22020096.0, 'Op per Byte': 1.73}",{},{},"{'Total scalar accesses': 7818962.0, 'Op per Byte': 4.88}","{'Total scalar accesses': 1273554.0, 'Op per Byte': 119.77}",47.5,100.0,802816.0,186.36,150.0,0.0,19267584.0,262.78,3982.96,2516.59,1025.26,827.27,1057.58,9672.45,ConvNeXt_00
2517630976.0,2517229568.0,5034860544.0,1696256.0,11872.88,"{'Total scalar accesses': 5213487104.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2832334848.0, 'Op per Byte': 1.78}","{'Total scalar accesses': 2674982912.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 261692928.0, 'Op per Byte': 19.24}","{'Total scalar accesses': 85474816.0, 'Op per Byte': 235.62}",32.0,66.67,157351936.0,20873.03,3280000.0,0.0,2517630976.0,262.78,3516.75,2788.46,961.71,217.83,543.21,8290.74,ConvNeXt_01
3136.0,3080.0,6216.0,3248.0,7.66,"{'Total scalar accesses': 6048.0, 'Op per Byte': 0.51}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 7.66}",7.93,16.67,784.0,0.08,6.41e-05,0.0,3136.0,262.78,3274.73,4860.7,926.41,105.12,16653.06,26082.79,ConvNeXt_02
3136.0,3080.0,6216.0,3248.0,7.66,"{'Total scalar accesses': 6048.0, 'Op per Byte': 0.51}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 7.66}",7.93,16.67,784.0,0.08,6.41e-05,0.0,3136.0,262.78,3274.73,4860.7,926.41,105.12,16653.06,26082.79,ConvNeXt_03
2517630976.0,2517229568.0,5034860544.0,1696256.0,11872.88,"{'Total scalar accesses': 5213487104.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2832334848.0, 'Op per Byte': 1.78}","{'Total scalar accesses': 2674982912.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 261692928.0, 'Op per Byte': 19.24}","{'Total scalar accesses': 85474816.0, 'Op per Byte': 235.62}",32.0,66.67,157351936.0,20873.03,3280000.0,0.0,2517630976.0,262.78,3516.75,2788.46,961.71,217.83,543.21,8290.74,ConvNeXt_04
3136.0,3080.0,6216.0,3248.0,7.66,"{'Total scalar accesses': 6048.0, 'Op per Byte': 0.51}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 7.66}",7.93,16.67,784.0,0.08,6.41e-05,0.0,3136.0,262.78,3274.73,4860.7,926.41,105.12,16653.06,26082.79,ConvNeXt_05
3136.0,3080.0,6216.0,3248.0,7.66,"{'Total scalar accesses': 6048.0, 'Op per Byte': 0.51}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 7.66}",7.93,16.67,784.0,0.08,6.41e-05,0.0,3136.0,262.78,3274.73,4860.7,926.41,105.12,16653.06,26082.79,ConvNeXt_06
2517630976.0,2517229568.0,5034860544.0,1696256.0,11872.88,"{'Total scalar accesses': 5213487104.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2832334848.0, 'Op per Byte': 1.78}","{'Total scalar accesses': 2674982912.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 261692928.0, 'Op per Byte': 19.24}","{'Total scalar accesses': 85474816.0, 'Op per Byte': 235.62}",32.0,66.67,157351936.0,20873.03,3280000.0,0.0,2517630976.0,262.78,3516.75,2788.46,961.71,217.83,543.21,8290.74,ConvNeXt_07
3136.0,3080.0,6216.0,3248.0,7.66,"{'Total scalar accesses': 6048.0, 'Op per Byte': 0.51}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 7.66}",7.93,16.67,784.0,0.08,6.41e-05,0.0,3136.0,262.78,3274.73,4860.7,926.41,105.12,16653.06,26082.79,ConvNeXt_08
3136.0,3080.0,6216.0,3248.0,7.66,"{'Total scalar accesses': 6048.0, 'Op per Byte': 0.51}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 7.66}",7.93,16.67,784.0,0.08,6.41e-05,0.0,3136.0,262.78,3274.73,4860.7,926.41,105.12,16653.06,26082.79,ConvNeXt_09
102760448.0,102559744.0,205320192.0,439424.0,1868.99,"{'Total scalar accesses': 217563136.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 110100480.0, 'Op per Byte': 1.86}","{'Total scalar accesses': 109068288.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 17633792.0, 'Op per Byte': 11.64}","{'Total scalar accesses': 5276160.0, 'Op per Byte': 155.66}",31.97,66.67,6422528.0,888.44,5710.0,0.0,102760448.0,262.78,3589.27,2661.59,960.83,349.76,821.51,8645.73,ConvNeXt_10
196.0,182.0,378.0,224.0,6.75,"{'Total scalar accesses': 364.0, 'Op per Byte': 0.52}","{'Total scalar accesses': 392.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 224.0, 'Op per Byte': 1.69}",{},{},"{'Total scalar accesses': 42.0, 'Op per Byte': 9.0}","{'Total scalar accesses': 224.0, 'Op per Byte': 6.75}",7.71,16.67,49.0,0.01,3.21e-07,0.0,196.0,262.78,3144.59,4959.81,1059.99,475.49,23510.2,33412.87,ConvNeXt_100
196.0,182.0,378.0,224.0,6.75,"{'Total scalar accesses': 364.0, 'Op per Byte': 0.52}","{'Total scalar accesses': 392.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 224.0, 'Op per Byte': 1.69}",{},{},"{'Total scalar accesses': 42.0, 'Op per Byte': 9.0}","{'Total scalar accesses': 224.0, 'Op per Byte': 6.75}",7.71,16.67,49.0,0.01,3.21e-07,0.0,196.0,262.78,3144.59,4959.81,1059.99,475.49,23510.2,33412.87,ConvNeXt_101
102760448.0,102710272.0,205470720.0,2180096.0,376.99,"{'Total scalar accesses': 230809600.0, 'Op per Byte': 0.45}","{'Total scalar accesses': 104857600.0, 'Op per Byte': 1.96}","{'Total scalar accesses': 106430464.0, 'Op per Byte': 1.93}",{},{},"{'Total scalar accesses': 17513472.0, 'Op per Byte': 11.73}","{'Total scalar accesses': 3195904.0, 'Op per Byte': 257.17}",8.0,16.67,25690112.0,861.89,22100.0,0.0,102760448.0,262.78,3793.62,2540.76,940.53,352.03,497.61,8387.32,ConvNeXt_102
2517630976.0,2517580800.0,5035211776.0,51603456.0,390.3,"{'Total scalar accesses': 5214691328.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2569011200.0, 'Op per Byte': 1.96}","{'Total scalar accesses': 2559377408.0, 'Op per Byte': 1.97}",{},{},"{'Total scalar accesses': 132263936.0, 'Op per Byte': 38.07}","{'Total scalar accesses': 52082688.0, 'Op per Byte': 386.71}",8.0,16.67,629407744.0,19358.46,12200000.0,0.0,2517630976.0,262.78,3517.56,2540.76,925.4,111.66,330.99,7689.16,ConvNeXt_103
49.0,42.0,91.0,63.0,6.07,"{'Total scalar accesses': 91.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 56.0, 'Op per Byte': 1.62}",{},{},"{'Total scalar accesses': 21.0, 'Op per Byte': 4.33}","{'Total scalar accesses': 63.0, 'Op per Byte': 6.07}",1.86,4.17,49.0,0.0,1.25e-07,0.0,49.0,262.78,3144.59,4959.81,1059.99,953.81,41795.92,52176.9,ConvNeXt_104
49.0,42.0,91.0,63.0,6.07,"{'Total scalar accesses': 91.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 56.0, 'Op per Byte': 1.62}",{},{},"{'Total scalar accesses': 21.0, 'Op per Byte': 4.33}","{'Total scalar accesses': 63.0, 'Op per Byte': 6.07}",1.86,4.17,49.0,0.0,1.25e-07,0.0,49.0,262.78,3144.59,4959.81,1059.99,953.81,41795.92,52176.9,ConvNeXt_105
2517630976.0,2517580800.0,5035211776.0,51603456.0,390.3,"{'Total scalar accesses': 5214691328.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2569011200.0, 'Op per Byte': 1.96}","{'Total scalar accesses': 2559377408.0, 'Op per Byte': 1.97}",{},{},"{'Total scalar accesses': 132263936.0, 'Op per Byte': 38.07}","{'Total scalar accesses': 52082688.0, 'Op per Byte': 386.71}",8.0,16.67,629407744.0,19358.46,12200000.0,0.0,2517630976.0,262.78,3517.56,2540.76,925.4,111.66,330.99,7689.16,ConvNeXt_106
49.0,42.0,91.0,63.0,6.07,"{'Total scalar accesses': 91.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 56.0, 'Op per Byte': 1.62}",{},{},"{'Total scalar accesses': 21.0, 'Op per Byte': 4.33}","{'Total scalar accesses': 63.0, 'Op per Byte': 6.07}",1.86,4.17,49.0,0.0,1.25e-07,0.0,49.0,262.78,3144.59,4959.81,1059.99,953.81,41795.92,52176.9,ConvNeXt_107
49.0,42.0,91.0,63.0,6.07,"{'Total scalar accesses': 91.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 56.0, 'Op per Byte': 1.62}",{},{},"{'Total scalar accesses': 21.0, 'Op per Byte': 4.33}","{'Total scalar accesses': 63.0, 'Op per Byte': 6.07}",1.86,4.17,49.0,0.0,1.25e-07,0.0,49.0,262.78,3144.59,4959.81,1059.99,953.81,41795.92,52176.9,ConvNeXt_108
2517630976.0,2517580800.0,5035211776.0,51603456.0,390.3,"{'Total scalar accesses': 5214691328.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 2569011200.0, 'Op per Byte': 1.96}","{'Total scalar accesses': 2559377408.0, 'Op per Byte': 1.97}",{},{},"{'Total scalar accesses': 132263936.0, 'Op per Byte': 38.07}","{'Total scalar accesses': 52082688.0, 'Op per Byte': 386.71}",8.0,16.67,629407744.0,19358.46,12200000.0,0.0,2517630976.0,262.78,3517.56,2540.76,925.4,111.66,330.99,7689.16,ConvNeXt_109
