total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
118013952.0,117211136.0,235225088.0,853996.0,1101.76,"{'Total scalar accesses': 248070144.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 119067648.0, 'Op per Byte': 1.98}","{'Total scalar accesses': 119124096.0, 'Op per Byte': 1.97}",{},{},"{'Total scalar accesses': 11033452.0, 'Op per Byte': 21.32}","{'Total scalar accesses': 1108012.0, 'Op per Byte': 849.18}",47.84,100.0,4917248.0,896.45,4410.0,0.0,118013952.0,262.78,3561.35,2513.57,919.73,188.48,150.22,7596.13,Resnet18_00
115605504.0,115404800.0,231010304.0,452864.0,2040.44,"{'Total scalar accesses': 248070144.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 144506880.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 36370432.0, 'Op per Byte': 6.35}","{'Total scalar accesses': 3512320.0, 'Op per Byte': 263.09}",47.96,100.0,4816896.0,1023.03,4930.0,0.0,115605504.0,262.78,3633.01,2661.59,1109.99,695.83,486.11,8849.31,Resnet18_01
115605504.0,115404800.0,231010304.0,452864.0,2040.44,"{'Total scalar accesses': 248070144.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 144506880.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 36370432.0, 'Op per Byte': 6.35}","{'Total scalar accesses': 3512320.0, 'Op per Byte': 263.09}",47.96,100.0,4816896.0,1023.03,4930.0,0.0,115605504.0,262.78,3633.01,2661.59,1109.99,695.83,486.11,8849.31,Resnet18_02
115605504.0,115404800.0,231010304.0,452864.0,2040.44,"{'Total scalar accesses': 248070144.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 144506880.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 36370432.0, 'Op per Byte': 6.35}","{'Total scalar accesses': 3512320.0, 'Op per Byte': 263.09}",47.96,100.0,4816896.0,1023.03,4930.0,0.0,115605504.0,262.78,3633.01,2661.59,1109.99,695.83,486.11,8849.31,Resnet18_03
115605504.0,115404800.0,231010304.0,452864.0,2040.44,"{'Total scalar accesses': 248070144.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 144506880.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 36370432.0, 'Op per Byte': 6.35}","{'Total scalar accesses': 3512320.0, 'Op per Byte': 263.09}",47.96,100.0,4816896.0,1023.03,4930.0,0.0,115605504.0,262.78,3633.01,2661.59,1109.99,695.83,486.11,8849.31,Resnet18_04
57802752.0,57702400.0,115505152.0,231680.0,1994.22,"{'Total scalar accesses': 118013952.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 58982400.0, 'Op per Byte': 1.96}","{'Total scalar accesses': 65028096.0, 'Op per Byte': 1.78}",{},{},"{'Total scalar accesses': 8487168.0, 'Op per Byte': 13.61}","{'Total scalar accesses': 653568.0, 'Op per Byte': 706.92}",47.96,100.0,2408448.0,450.35,1080.0,0.0,57802752.0,262.78,3468.26,2540.76,1011.14,327.33,180.91,7791.17,Resnet18_05
115605504.0,115505152.0,231110656.0,363008.0,2546.62,"{'Total scalar accesses': 287809536.0, 'Op per Byte': 0.4}","{'Total scalar accesses': 132120576.0, 'Op per Byte': 1.75}","{'Total scalar accesses': 144506880.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 49391360.0, 'Op per Byte': 4.68}","{'Total scalar accesses': 6655744.0, 'Op per Byte': 138.89}",47.98,100.0,4816896.0,1182.19,5690.0,0.0,115605504.0,262.78,4177.95,2830.75,1109.99,923.41,921.17,10226.05,Resnet18_06
6422528.0,6322176.0,12744704.0,158720.0,321.19,"{'Total scalar accesses': 13246464.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 6455296.0, 'Op per Byte': 1.97}","{'Total scalar accesses': 6823936.0, 'Op per Byte': 1.87}",{},{},"{'Total scalar accesses': 953344.0, 'Op per Byte': 13.37}","{'Total scalar accesses': 158720.0, 'Op per Byte': 321.19}",31.75,66.67,401408.0,50.88,20.4,0.0,6422528.0,262.78,3496.21,2504.51,961.71,302.19,395.41,7922.8,Resnet18_07
115605504.0,115505152.0,231110656.0,363008.0,2546.62,"{'Total scalar accesses': 287809536.0, 'Op per Byte': 0.4}","{'Total scalar accesses': 132120576.0, 'Op per Byte': 1.75}","{'Total scalar accesses': 144506880.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 49391360.0, 'Op per Byte': 4.68}","{'Total scalar accesses': 6655744.0, 'Op per Byte': 138.89}",47.98,100.0,4816896.0,1182.19,5690.0,0.0,115605504.0,262.78,4177.95,2830.75,1109.99,923.41,921.17,10226.05,Resnet18_08
115605504.0,115505152.0,231110656.0,363008.0,2546.62,"{'Total scalar accesses': 287809536.0, 'Op per Byte': 0.4}","{'Total scalar accesses': 132120576.0, 'Op per Byte': 1.75}","{'Total scalar accesses': 144506880.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 49391360.0, 'Op per Byte': 4.68}","{'Total scalar accesses': 6655744.0, 'Op per Byte': 138.89}",47.98,100.0,4816896.0,1182.19,5690.0,0.0,115605504.0,262.78,4177.95,2830.75,1109.99,923.41,921.17,10226.05,Resnet18_09
