total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
115605504.0,115454976.0,231060480.0,742875.0,622.07,"{'Total scalar accesses': 236027904.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 119347200.0, 'Op per Byte': 1.94}",{},{},"{'Total scalar accesses': 5400027.0, 'Op per Byte': 42.79}","{'Total scalar accesses': 742875.0, 'Op per Byte': 622.07}",223.85,33.33,1032192.0,883.04,911.0,0.0,115605504.0,262.78,3468.26,2661.59,937.88,102.26,205.63,7638.4,ViT_00
116195328.0,116044032.0,232239360.0,892416.0,520.47,"{'Total scalar accesses': 239047680.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13162752.0, 'Op per Byte': 17.64}","{'Total scalar accesses': 1951488.0, 'Op per Byte': 238.01}",23.98,3.57,9682944.0,946.57,9170.0,0.0,116195328.0,262.78,3494.85,2504.45,1109.99,236.88,537.44,8146.39,ViT_01
116195328.0,116044032.0,232239360.0,892416.0,520.47,"{'Total scalar accesses': 239047680.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13162752.0, 'Op per Byte': 17.64}","{'Total scalar accesses': 1951488.0, 'Op per Byte': 238.01}",23.98,3.57,9682944.0,946.57,9170.0,0.0,116195328.0,262.78,3494.85,2504.45,1109.99,236.88,537.44,8146.39,ViT_02
116195328.0,116044032.0,232239360.0,892416.0,520.47,"{'Total scalar accesses': 239047680.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13162752.0, 'Op per Byte': 17.64}","{'Total scalar accesses': 1951488.0, 'Op per Byte': 238.01}",23.98,3.57,9682944.0,946.57,9170.0,0.0,116195328.0,262.78,3494.85,2504.45,1109.99,236.88,537.44,8146.39,ViT_03
151296.0,150528.0,301824.0,15740.0,38.35,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 163904.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 302592.0, 'Op per Byte': 1.0}",{},{},"{'Total scalar accesses': 323100.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 15740.0, 'Op per Byte': 38.35}",15.96,2.38,18912.0,2.62,0.0495,0.0,151296.0,262.78,4969.22,2689.78,1703.1,4341.16,3329.95,17295.99,ViT_04
465708.0,463344.0,929052.0,43537.0,42.68,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 504517.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 931416.0, 'Op per Byte': 1.0}",{},{},"{'Total scalar accesses': 1397124.0, 'Op per Byte': 0.66}","{'Total scalar accesses': 43537.0, 'Op per Byte': 42.68}",1.99,0.3,465708.0,8.82,4.11,0.0,465708.0,262.78,4969.22,2689.79,1703.1,6316.32,2992.57,18933.78,ViT_05
116195328.0,116044032.0,232239360.0,892416.0,520.47,"{'Total scalar accesses': 239047680.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13162752.0, 'Op per Byte': 17.64}","{'Total scalar accesses': 1951488.0, 'Op per Byte': 238.01}",23.98,3.57,9682944.0,946.57,9170.0,0.0,116195328.0,262.78,3494.85,2504.45,1109.99,236.88,537.44,8146.39,ViT_06
464781312.0,464176128.0,928957440.0,3115776.0,596.29,"{'Total scalar accesses': 985239552.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 580976640.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 78068736.0, 'Op per Byte': 11.9}","{'Total scalar accesses': 4174848.0, 'Op per Byte': 445.03}",23.98,3.57,38731776.0,3768.3,146000.0,0.0,464781312.0,262.78,3593.7,2504.45,1109.99,349.33,287.44,8107.69,ViT_07
464781312.0,464630016.0,929411328.0,3115776.0,596.58,"{'Total scalar accesses': 986449920.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 493830144.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 41001216.0, 'Op per Byte': 22.67}","{'Total scalar accesses': 4931328.0, 'Op per Byte': 376.94}",24.0,3.57,38731776.0,3648.13,141000.0,0.0,464781312.0,262.78,3598.13,2504.45,961.71,182.55,339.52,7849.14,ViT_08
116195328.0,116044032.0,232239360.0,892416.0,520.47,"{'Total scalar accesses': 239047680.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13162752.0, 'Op per Byte': 17.64}","{'Total scalar accesses': 1951488.0, 'Op per Byte': 238.01}",23.98,3.57,9682944.0,946.57,9170.0,0.0,116195328.0,262.78,3494.85,2504.45,1109.99,236.88,537.44,8146.39,ViT_09
