total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
118013952.0,117211136.0,235225088.0,853996.0,68.86,"{'Total scalar accesses': 241647616.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 118540800.0, 'Op per Byte': 1.98}","{'Total scalar accesses': 120572928.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 6616952.0, 'Op per Byte': 35.55}","{'Total scalar accesses': 921976.0, 'Op per Byte': 63.78}",97.67,37.12,2408448.0,1095.29,2640.0,0.0,118013952.0,262.78,3468.74,2503.0,929.43,117.05,1999.99,9280.99,Resnet18_00
115605504.0,115404800.0,231010304.0,452864.0,127.53,"{'Total scalar accesses': 236027904.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 115863552.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 122830848.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 9447680.0, 'Op per Byte': 24.45}","{'Total scalar accesses': 1657088.0, 'Op per Byte': 34.85}",167.85,63.64,1376256.0,1275.85,1760.0,0.0,115605504.0,262.78,3465.76,2497.71,961.71,178.73,3669.51,11036.21,Resnet18_01
115605504.0,115404800.0,231010304.0,452864.0,127.53,"{'Total scalar accesses': 236027904.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 115863552.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 122830848.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 9447680.0, 'Op per Byte': 24.45}","{'Total scalar accesses': 1657088.0, 'Op per Byte': 34.85}",167.85,63.64,1376256.0,1275.85,1760.0,0.0,115605504.0,262.78,3465.76,2497.71,961.71,178.73,3669.51,11036.21,Resnet18_02
115605504.0,115404800.0,231010304.0,452864.0,127.53,"{'Total scalar accesses': 236027904.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 115863552.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 122830848.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 9447680.0, 'Op per Byte': 24.45}","{'Total scalar accesses': 1657088.0, 'Op per Byte': 34.85}",167.85,63.64,1376256.0,1275.85,1760.0,0.0,115605504.0,262.78,3465.76,2497.71,961.71,178.73,3669.51,11036.21,Resnet18_03
115605504.0,115404800.0,231010304.0,452864.0,127.53,"{'Total scalar accesses': 236027904.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 115863552.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 122830848.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 9447680.0, 'Op per Byte': 24.45}","{'Total scalar accesses': 1657088.0, 'Op per Byte': 34.85}",167.85,63.64,1376256.0,1275.85,1760.0,0.0,115605504.0,262.78,3465.76,2497.71,961.71,178.73,3669.51,11036.21,Resnet18_04
57802752.0,57702400.0,115505152.0,231680.0,124.64,"{'Total scalar accesses': 118013952.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 58834944.0, 'Op per Byte': 1.96}","{'Total scalar accesses': 61415424.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 3473408.0, 'Op per Byte': 33.25}","{'Total scalar accesses': 1312768.0, 'Op per Byte': 22.0}",167.85,63.64,688128.0,761.15,524.0,0.0,57802752.0,262.78,3468.26,2534.71,961.71,126.46,5814.07,13167.99,Resnet18_05
115605504.0,115505152.0,231110656.0,363008.0,159.16,"{'Total scalar accesses': 269344768.0, 'Op per Byte': 0.43}","{'Total scalar accesses': 119734272.0, 'Op per Byte': 1.93}","{'Total scalar accesses': 144506880.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 45775360.0, 'Op per Byte': 5.05}","{'Total scalar accesses': 805376.0, 'Op per Byte': 71.74}",111.95,42.42,2064384.0,1210.93,2500.0,0.0,115605504.0,262.78,3926.16,2577.01,1109.99,815.32,1783.46,10474.71,Resnet18_06
6422528.0,6322176.0,12744704.0,158720.0,20.07,"{'Total scalar accesses': 17661952.0, 'Op per Byte': 0.36}","{'Total scalar accesses': 6823936.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 7225344.0, 'Op per Byte': 1.76}",{},{},"{'Total scalar accesses': 2358272.0, 'Op per Byte': 5.4}","{'Total scalar accesses': 207872.0, 'Op per Byte': 15.33}",111.12,42.42,114688.0,112.58,12.9,0.0,6422528.0,262.78,4561.05,2640.44,1011.14,767.54,8286.11,17529.07,Resnet18_07
115605504.0,115505152.0,231110656.0,363008.0,159.16,"{'Total scalar accesses': 269344768.0, 'Op per Byte': 0.43}","{'Total scalar accesses': 119734272.0, 'Op per Byte': 1.93}","{'Total scalar accesses': 144506880.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 45775360.0, 'Op per Byte': 5.05}","{'Total scalar accesses': 805376.0, 'Op per Byte': 71.74}",111.95,42.42,2064384.0,1210.93,2500.0,0.0,115605504.0,262.78,3926.16,2577.01,1109.99,815.32,1783.46,10474.71,Resnet18_08
115605504.0,115505152.0,231110656.0,363008.0,159.16,"{'Total scalar accesses': 269344768.0, 'Op per Byte': 0.43}","{'Total scalar accesses': 119734272.0, 'Op per Byte': 1.93}","{'Total scalar accesses': 144506880.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 45775360.0, 'Op per Byte': 5.05}","{'Total scalar accesses': 805376.0, 'Op per Byte': 71.74}",111.95,42.42,2064384.0,1210.93,2500.0,0.0,115605504.0,262.78,3926.16,2577.01,1109.99,815.32,1783.46,10474.71,Resnet18_09
57802752.0,57752576.0,115555328.0,377856.0,76.45,"{'Total scalar accesses': 124637184.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 61931520.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 68812800.0, 'Op per Byte': 1.68}",{},{},"{'Total scalar accesses': 9082880.0, 'Op per Byte': 12.72}","{'Total scalar accesses': 1408000.0, 'Op per Byte': 20.52}",167.93,63.64,688128.0,821.58,565.0,0.0,57802752.0,262.78,3650.74,2661.59,1062.92,339.54,6235.86,14213.43,Resnet18_10
