total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
19267584.0,18866176.0,38133760.0,417995.0,45.62,"{'Total scalar accesses': 38535168.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 38535168.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 19869696.0, 'Op per Byte': 1.92}",{},{},"{'Total scalar accesses': 1816779.0, 'Op per Byte': 20.99}","{'Total scalar accesses': 1099979.0, 'Op per Byte': 17.33}",608.0,40.0,62720.0,325.75,20.4,0.0,19267584.0,262.78,3344.92,4861.08,937.13,193.0,7307.48,16906.38,ConvNeXt_00
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 5112332288.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 1.0}","{'Total scalar accesses': 2674982912.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 160563200.0, 'Op per Byte': 31.36}","{'Total scalar accesses': 127246336.0, 'Op per Byte': 19.78}",895.93,58.33,5619712.0,40625.06,228000.0,0.0,2517630976.0,262.78,3453.2,4860.7,961.71,128.44,6469.39,16136.23,ConvNeXt_01
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,1.04,392.0,0.44,0.000174,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,132571.43,141872.34,ConvNeXt_02
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,1.04,392.0,0.44,0.000174,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,132571.43,141872.34,ConvNeXt_03
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 5112332288.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 1.0}","{'Total scalar accesses': 2674982912.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 160563200.0, 'Op per Byte': 31.36}","{'Total scalar accesses': 127246336.0, 'Op per Byte': 19.78}",895.93,58.33,5619712.0,40625.06,228000.0,0.0,2517630976.0,262.78,3453.2,4860.7,961.71,128.44,6469.39,16136.23,ConvNeXt_04
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,1.04,392.0,0.44,0.000174,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,132571.43,141872.34,ConvNeXt_05
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,1.04,392.0,0.44,0.000174,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,132571.43,141872.34,ConvNeXt_06
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 5112332288.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 1.0}","{'Total scalar accesses': 2674982912.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 160563200.0, 'Op per Byte': 31.36}","{'Total scalar accesses': 127246336.0, 'Op per Byte': 19.78}",895.93,58.33,5619712.0,40625.06,228000.0,0.0,2517630976.0,262.78,3453.2,4860.7,961.71,128.44,6469.39,16136.23,ConvNeXt_07
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,1.04,392.0,0.44,0.000174,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,132571.43,141872.34,ConvNeXt_08
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 3192.0, 'Op per Byte': 1.95}",{},{},"{'Total scalar accesses': 168.0, 'Op per Byte': 37.0}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,1.04,392.0,0.44,0.000174,0.0,3136.0,262.78,3144.59,4860.7,928.43,104.41,132571.43,141872.34,ConvNeXt_09
