total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
118013952.0,117211136.0,235225088.0,853996.0,137.72,"{'Total scalar accesses': 240041984.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 120121344.0, 'Op per Byte': 1.96}","{'Total scalar accesses': 136679424.0, 'Op per Byte': 1.72}",{},{},"{'Total scalar accesses': 12813688.0, 'Op per Byte': 18.36}","{'Total scalar accesses': 997240.0, 'Op per Byte': 117.94}",223.24,14.58,1053696.0,1014.46,1070.0,0.0,118013952.0,262.78,3457.02,2534.71,1037.36,222.57,1081.62,8596.08,Resnet18_00
115605504.0,115404800.0,231010304.0,452864.0,255.05,"{'Total scalar accesses': 232415232.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 1.0}","{'Total scalar accesses': 127690752.0, 'Op per Byte': 1.81}",{},{},"{'Total scalar accesses': 5243648.0, 'Op per Byte': 44.06}","{'Total scalar accesses': 3684608.0, 'Op per Byte': 31.35}",1020.08,66.47,226464.0,1585.68,359.0,0.0,115605504.0,262.78,3420.51,4861.97,995.38,96.02,4079.65,13716.32,Resnet18_01
115605504.0,115404800.0,231010304.0,452864.0,255.05,"{'Total scalar accesses': 232415232.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 1.0}","{'Total scalar accesses': 127690752.0, 'Op per Byte': 1.81}",{},{},"{'Total scalar accesses': 5243648.0, 'Op per Byte': 44.06}","{'Total scalar accesses': 3684608.0, 'Op per Byte': 31.35}",1020.08,66.47,226464.0,1585.68,359.0,0.0,115605504.0,262.78,3420.51,4861.97,995.38,96.02,4079.65,13716.32,Resnet18_02
115605504.0,115404800.0,231010304.0,452864.0,255.05,"{'Total scalar accesses': 232415232.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 1.0}","{'Total scalar accesses': 127690752.0, 'Op per Byte': 1.81}",{},{},"{'Total scalar accesses': 5243648.0, 'Op per Byte': 44.06}","{'Total scalar accesses': 3684608.0, 'Op per Byte': 31.35}",1020.08,66.47,226464.0,1585.68,359.0,0.0,115605504.0,262.78,3420.51,4861.97,995.38,96.02,4079.65,13716.32,Resnet18_03
115605504.0,115404800.0,231010304.0,452864.0,255.05,"{'Total scalar accesses': 232415232.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 1.0}","{'Total scalar accesses': 127690752.0, 'Op per Byte': 1.81}",{},{},"{'Total scalar accesses': 5243648.0, 'Op per Byte': 44.06}","{'Total scalar accesses': 3684608.0, 'Op per Byte': 31.35}",1020.08,66.47,226464.0,1585.68,359.0,0.0,115605504.0,262.78,3420.51,4861.97,995.38,96.02,4079.65,13716.32,Resnet18_04
57802752.0,57702400.0,115505152.0,231680.0,249.28,"{'Total scalar accesses': 116809728.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 66060288.0, 'Op per Byte': 1.75}","{'Total scalar accesses': 63995904.0, 'Op per Byte': 1.8}",{},{},"{'Total scalar accesses': 3868160.0, 'Op per Byte': 29.86}","{'Total scalar accesses': 759296.0, 'Op per Byte': 76.06}",335.71,21.88,344064.0,540.76,186.0,0.0,57802752.0,262.78,3435.31,2830.75,997.02,148.02,1681.41,9355.29,Resnet18_05
115605504.0,115505152.0,231110656.0,363008.0,318.33,"{'Total scalar accesses': 239239168.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 1.0}","{'Total scalar accesses': 117411840.0, 'Op per Byte': 1.97}",{},{},"{'Total scalar accesses': 4344832.0, 'Op per Byte': 53.19}","{'Total scalar accesses': 4459520.0, 'Op per Byte': 25.91}",447.81,29.17,516096.0,1685.29,870.0,0.0,115605504.0,262.78,3513.03,4860.7,924.64,79.18,4937.64,14577.97,Resnet18_06
6422528.0,6322176.0,12744704.0,158720.0,40.15,"{'Total scalar accesses': 13246464.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 6651904.0, 'Op per Byte': 1.92}","{'Total scalar accesses': 7225344.0, 'Op per Byte': 1.76}",{},{},"{'Total scalar accesses': 1003520.0, 'Op per Byte': 12.7}","{'Total scalar accesses': 208896.0, 'Op per Byte': 30.5}",406.4,26.67,31360.0,75.96,2.38,0.0,6422528.0,262.78,3496.33,2577.38,1011.26,315.67,4163.27,11826.69,Resnet18_07
115605504.0,115505152.0,231110656.0,363008.0,318.33,"{'Total scalar accesses': 239239168.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 1.0}","{'Total scalar accesses': 117411840.0, 'Op per Byte': 1.97}",{},{},"{'Total scalar accesses': 4344832.0, 'Op per Byte': 53.19}","{'Total scalar accesses': 4459520.0, 'Op per Byte': 25.91}",447.81,29.17,516096.0,1685.29,870.0,0.0,115605504.0,262.78,3513.03,4860.7,924.64,79.18,4937.64,14577.97,Resnet18_08
115605504.0,115505152.0,231110656.0,363008.0,318.33,"{'Total scalar accesses': 239239168.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 1.0}","{'Total scalar accesses': 117411840.0, 'Op per Byte': 1.97}",{},{},"{'Total scalar accesses': 4344832.0, 'Op per Byte': 53.19}","{'Total scalar accesses': 4459520.0, 'Op per Byte': 25.91}",447.81,29.17,516096.0,1685.29,870.0,0.0,115605504.0,262.78,3513.03,4860.7,924.64,79.18,4937.64,14577.97,Resnet18_09
57802752.0,57752576.0,115555328.0,377856.0,152.91,"{'Total scalar accesses': 115906560.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 115605504.0, 'Op per Byte': 1.0}","{'Total scalar accesses': 61415424.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 2089984.0, 'Op per Byte': 55.29}","{'Total scalar accesses': 4211712.0, 'Op per Byte': 13.72}",335.85,21.88,344064.0,1092.71,376.0,0.0,57802752.0,262.78,3411.85,4860.7,961.71,80.61,9326.53,18904.19,Resnet18_10
115605504.0,115555328.0,231160832.0,705536.0,163.82,"{'Total scalar accesses': 235425792.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 126615552.0, 'Op per Byte': 1.83}",{},{},"{'Total scalar accesses': 7126016.0, 'Op per Byte': 32.44}","{'Total scalar accesses': 705536.0, 'Op per Byte': 163.82}",335.93,21.88,688128.0,958.53,660.0,0.0,115605504.0,262.78,3461.9,2661.59,987.6,136.34,781.18,8291.39,Resnet18_11
6422528.0,6372352.0,12794880.0,108032.0,59.22,"{'Total scalar accesses': 13246464.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 6881280.0, 'Op per Byte': 1.86}","{'Total scalar accesses': 7225344.0, 'Op per Byte': 1.77}",{},{},"{'Total scalar accesses': 953344.0, 'Op per Byte': 13.42}","{'Total scalar accesses': 283648.0, 'Op per Byte': 22.55}",223.12,14.58,57344.0,86.0,4.93,0.0,6422528.0,262.78,3496.21,2661.59,1011.14,305.84,5653.06,13390.61,Resnet18_12
115605504.0,115555328.0,231160832.0,705536.0,163.82,"{'Total scalar accesses': 235425792.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 126615552.0, 'Op per Byte': 1.83}",{},{},"{'Total scalar accesses': 7126016.0, 'Op per Byte': 32.44}","{'Total scalar accesses': 705536.0, 'Op per Byte': 163.82}",335.93,21.88,688128.0,958.53,660.0,0.0,115605504.0,262.78,3461.9,2661.59,987.6,136.34,781.18,8291.39,Resnet18_13
