total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,output_activation_reg_intensity,input_activation_reg_intensity,weight_reg_intensity,pe_spad_intensity,inter_PE_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,output_activation_reg fJ/compute,input_activation_reg fJ/compute,weight_reg fJ/compute,pe_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
118013952.0,117211136.0,235225088.0,853996.0,137.72,"{'Total scalar accesses': 349224960.0, 'Op per Byte': 0.34}","{'Total scalar accesses': 228802560.0, 'Op per Byte': 0.51}","{'Total scalar accesses': 126443520.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 233619456.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 36328704.0, 'Op per Byte': 3.24}","{'Total scalar accesses': 1004800.0, 'Op per Byte': 117.05}",23.92,7.14,9834496.0,793.91,7810.0,0.0,118013952.0,398.55,178.48,182.2,182.2,2209.33,2486.65,1089.82,6727.22,Resnet18_00
115605504.0,115404800.0,231010304.0,452864.0,255.05,"{'Total scalar accesses': 346415104.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 119734272.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 231010304.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 19046912.0, 'Op per Byte': 6.06}","{'Total scalar accesses': 668160.0, 'Op per Byte': 172.87}",15.99,4.76,14450688.0,604.91,8740.0,0.0,115605504.0,398.55,181.88,182.19,182.19,2221.66,1326.3,739.8,5232.57,Resnet18_01
115605504.0,115404800.0,231010304.0,452864.0,255.05,"{'Total scalar accesses': 346415104.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 119734272.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 231010304.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 19046912.0, 'Op per Byte': 6.06}","{'Total scalar accesses': 668160.0, 'Op per Byte': 172.87}",15.99,4.76,14450688.0,604.91,8740.0,0.0,115605504.0,398.55,181.88,182.19,182.19,2221.66,1326.3,739.8,5232.57,Resnet18_02
115605504.0,115404800.0,231010304.0,452864.0,255.05,"{'Total scalar accesses': 346415104.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 119734272.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 231010304.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 19046912.0, 'Op per Byte': 6.06}","{'Total scalar accesses': 668160.0, 'Op per Byte': 172.87}",15.99,4.76,14450688.0,604.91,8740.0,0.0,115605504.0,398.55,181.88,182.19,182.19,2221.66,1326.3,739.8,5232.57,Resnet18_03
115605504.0,115404800.0,231010304.0,452864.0,255.05,"{'Total scalar accesses': 346415104.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 119734272.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 231010304.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 19046912.0, 'Op per Byte': 6.06}","{'Total scalar accesses': 668160.0, 'Op per Byte': 172.87}",15.99,4.76,14450688.0,604.91,8740.0,0.0,115605504.0,398.55,181.88,182.19,182.19,2221.66,1326.3,739.8,5232.57,Resnet18_04
57802752.0,57702400.0,115505152.0,231680.0,249.28,"{'Total scalar accesses': 173207552.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 115605504.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 61931520.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 116207616.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 13285376.0, 'Op per Byte': 4.35}","{'Total scalar accesses': 526336.0, 'Op per Byte': 109.73}",15.99,4.76,7225344.0,357.03,2580.0,0.0,57802752.0,398.55,181.88,182.19,182.19,2240.65,1825.76,1165.53,6176.75,Resnet18_05
115605504.0,115505152.0,231110656.0,363008.0,318.33,"{'Total scalar accesses': 346615808.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 117669888.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 231612416.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 18227200.0, 'Op per Byte': 6.34}","{'Total scalar accesses': 708608.0, 'Op per Byte': 163.07}",15.99,4.76,14450688.0,603.18,8720.0,0.0,115605504.0,398.55,182.04,182.19,182.19,2229.01,1258.97,784.58,5217.54,Resnet18_06
6422528.0,6322176.0,12744704.0,158720.0,40.15,"{'Total scalar accesses': 19066880.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 12845056.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6881280.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 12744704.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 1319936.0, 'Op per Byte': 4.83}","{'Total scalar accesses': 158720.0, 'Op per Byte': 40.15}",15.88,4.76,802816.0,51.16,41.1,0.0,6422528.0,398.55,179.35,182.19,182.19,2212.49,1648.01,3163.27,7966.06,Resnet18_07
115605504.0,115505152.0,231110656.0,363008.0,318.33,"{'Total scalar accesses': 346615808.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 117669888.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 231612416.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 18227200.0, 'Op per Byte': 6.34}","{'Total scalar accesses': 708608.0, 'Op per Byte': 163.07}",15.99,4.76,14450688.0,603.18,8720.0,0.0,115605504.0,398.55,182.04,182.19,182.19,2229.01,1258.97,784.58,5217.54,Resnet18_08
115605504.0,115505152.0,231110656.0,363008.0,318.33,"{'Total scalar accesses': 346615808.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 117669888.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 231612416.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 18227200.0, 'Op per Byte': 6.34}","{'Total scalar accesses': 708608.0, 'Op per Byte': 163.07}",15.99,4.76,14450688.0,603.18,8720.0,0.0,115605504.0,398.55,182.04,182.19,182.19,2229.01,1258.97,784.58,5217.54,Resnet18_09
