total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,output_activation_reg_intensity,input_activation_reg_intensity,weight_reg_intensity,pe_spad_intensity,inter_PE_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,output_activation_reg fJ/compute,input_activation_reg fJ/compute,weight_reg fJ/compute,pe_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
19267584.0,18866176.0,38133760.0,417995.0,45.62,"{'Total scalar accesses': 56999936.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 38535168.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 19955712.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 38133760.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 3124668.0, 'Op per Byte': 6.1}","{'Total scalar accesses': 429500.0, 'Op per Byte': 44.39}",15.83,4.76,2408448.0,140.91,339.0,0.0,19267584.0,398.55,178.4,182.19,182.19,2209.05,1309.42,2853.29,7313.09,ConvNeXt_00
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 7551287296.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 2562588672.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 5059346432.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 705234944.0, 'Op per Byte': 3.57}","{'Total scalar accesses': 8792064.0, 'Op per Byte': 286.33}",16.0,4.76,314703872.0,14813.96,4660000.0,0.0,2517630976.0,398.55,182.14,182.19,182.19,2238.04,2253.97,447.0,5884.09,ConvNeXt_01
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 6216.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 56.0, 'Op per Byte': 55.5}",{},"{'Total scalar accesses': 448.0, 'Op per Byte': 6.94}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,4.76,392.0,0.42,0.000166,0.0,3136.0,398.55,178.94,182.19,182.19,27.92,1127.74,132571.43,134668.97,ConvNeXt_02
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 6216.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 56.0, 'Op per Byte': 55.5}",{},"{'Total scalar accesses': 448.0, 'Op per Byte': 6.94}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,4.76,392.0,0.42,0.000166,0.0,3136.0,398.55,178.94,182.19,182.19,27.92,1127.74,132571.43,134668.97,ConvNeXt_03
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 7551287296.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 2562588672.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 5059346432.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 705234944.0, 'Op per Byte': 3.57}","{'Total scalar accesses': 8792064.0, 'Op per Byte': 286.33}",16.0,4.76,314703872.0,14813.96,4660000.0,0.0,2517630976.0,398.55,182.14,182.19,182.19,2238.04,2253.97,447.0,5884.09,ConvNeXt_04
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 6216.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 56.0, 'Op per Byte': 55.5}",{},"{'Total scalar accesses': 448.0, 'Op per Byte': 6.94}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,4.76,392.0,0.42,0.000166,0.0,3136.0,398.55,178.94,182.19,182.19,27.92,1127.74,132571.43,134668.97,ConvNeXt_05
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 6216.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 56.0, 'Op per Byte': 55.5}",{},"{'Total scalar accesses': 448.0, 'Op per Byte': 6.94}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,4.76,392.0,0.42,0.000166,0.0,3136.0,398.55,178.94,182.19,182.19,27.92,1127.74,132571.43,134668.97,ConvNeXt_06
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 7551287296.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 2562588672.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 5059346432.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 705234944.0, 'Op per Byte': 3.57}","{'Total scalar accesses': 8792064.0, 'Op per Byte': 286.33}",16.0,4.76,314703872.0,14813.96,4660000.0,0.0,2517630976.0,398.55,182.14,182.19,182.19,2238.04,2253.97,447.0,5884.09,ConvNeXt_07
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 6216.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 56.0, 'Op per Byte': 55.5}",{},"{'Total scalar accesses': 448.0, 'Op per Byte': 6.94}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,4.76,392.0,0.42,0.000166,0.0,3136.0,398.55,178.94,182.19,182.19,27.92,1127.74,132571.43,134668.97,ConvNeXt_08
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 6216.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 56.0, 'Op per Byte': 55.5}",{},"{'Total scalar accesses': 448.0, 'Op per Byte': 6.94}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",15.86,4.76,392.0,0.42,0.000166,0.0,3136.0,398.55,178.94,182.19,182.19,27.92,1127.74,132571.43,134668.97,ConvNeXt_09
