total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,output_activation_reg_intensity,input_activation_reg_intensity,weight_reg_intensity,pe_spad_intensity,inter_PE_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,output_activation_reg fJ/compute,input_activation_reg fJ/compute,weight_reg fJ/compute,pe_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
19267584.0,18866176.0,38133760.0,417995.0,45.62,"{'Total scalar accesses': 56999936.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 38535168.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 19660800.0, 'Op per Byte': 0.97}","{'Total scalar accesses': 39337984.0, 'Op per Byte': 0.48}",{},"{'Total scalar accesses': 4437512.0, 'Op per Byte': 4.3}","{'Total scalar accesses': 431624.0, 'Op per Byte': 44.17}",31.67,12.5,1204224.0,151.2,182.0,0.0,19267584.0,398.55,178.4,182.19,182.19,2306.71,1730.37,2869.05,7847.47,ConvNeXt_00
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 7551287296.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 2562588672.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 5059346432.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 394674176.0, 'Op per Byte': 6.38}","{'Total scalar accesses': 10125312.0, 'Op per Byte': 248.63}",32.0,12.5,157351936.0,12466.57,1960000.0,0.0,2517630976.0,398.55,182.14,182.19,182.19,2238.04,1253.8,514.79,4951.71,ConvNeXt_01
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8512.0, 'Op per Byte': 0.37}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",31.71,12.5,196.0,0.5,9.82e-05,0.0,3136.0,398.55,156.17,182.19,182.19,2128.49,0.21,156734.69,159782.5,ConvNeXt_02
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8512.0, 'Op per Byte': 0.37}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",31.71,12.5,196.0,0.5,9.82e-05,0.0,3136.0,398.55,156.17,182.19,182.19,2128.49,0.21,156734.69,159782.5,ConvNeXt_03
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 7551287296.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 2562588672.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 5059346432.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 394674176.0, 'Op per Byte': 6.38}","{'Total scalar accesses': 10125312.0, 'Op per Byte': 248.63}",32.0,12.5,157351936.0,12466.57,1960000.0,0.0,2517630976.0,398.55,182.14,182.19,182.19,2238.04,1253.8,514.79,4951.71,ConvNeXt_04
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8512.0, 'Op per Byte': 0.37}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",31.71,12.5,196.0,0.5,9.82e-05,0.0,3136.0,398.55,156.17,182.19,182.19,2128.49,0.21,156734.69,159782.5,ConvNeXt_05
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8512.0, 'Op per Byte': 0.37}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",31.71,12.5,196.0,0.5,9.82e-05,0.0,3136.0,398.55,156.17,182.19,182.19,2128.49,0.21,156734.69,159782.5,ConvNeXt_06
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 7551287296.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 2562588672.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 5059346432.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 394674176.0, 'Op per Byte': 6.38}","{'Total scalar accesses': 10125312.0, 'Op per Byte': 248.63}",32.0,12.5,157351936.0,12466.57,1960000.0,0.0,2517630976.0,398.55,182.14,182.19,182.19,2238.04,1253.8,514.79,4951.71,ConvNeXt_07
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8512.0, 'Op per Byte': 0.37}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",31.71,12.5,196.0,0.5,9.82e-05,0.0,3136.0,398.55,156.17,182.19,182.19,2128.49,0.21,156734.69,159782.5,ConvNeXt_08
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8512.0, 'Op per Byte': 0.37}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",31.71,12.5,196.0,0.5,9.82e-05,0.0,3136.0,398.55,156.17,182.19,182.19,2128.49,0.21,156734.69,159782.5,ConvNeXt_09
