total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,output_activation_reg_intensity,input_activation_reg_intensity,weight_reg_intensity,pe_spad_intensity,inter_PE_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,output_activation_reg fJ/compute,input_activation_reg fJ/compute,weight_reg fJ/compute,pe_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
118013952.0,117211136.0,235225088.0,853996.0,34.43,"{'Total scalar accesses': 352436224.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 236027904.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 126443520.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 236830720.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 19872824.0, 'Op per Byte': 5.92}","{'Total scalar accesses': 856120.0, 'Op per Byte': 34.34}",31.89,12.5,7375872.0,970.91,7160.0,0.0,118013952.0,398.55,180.96,182.19,182.19,2239.57,1329.34,3714.25,8227.06,Resnet18_00
115605504.0,115404800.0,231010304.0,452864.0,63.76,"{'Total scalar accesses': 346415104.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 231411712.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 16760832.0, 'Op per Byte': 6.89}","{'Total scalar accesses': 475136.0, 'Op per Byte': 60.77}",31.97,12.5,7225344.0,744.14,5380.0,0.0,115605504.0,398.55,181.88,182.19,182.19,2227.08,1160.7,2104.31,6436.91,Resnet18_01
115605504.0,115404800.0,231010304.0,452864.0,63.76,"{'Total scalar accesses': 346415104.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 231411712.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 16760832.0, 'Op per Byte': 6.89}","{'Total scalar accesses': 475136.0, 'Op per Byte': 60.77}",31.97,12.5,7225344.0,744.14,5380.0,0.0,115605504.0,398.55,181.88,182.19,182.19,2227.08,1160.7,2104.31,6436.91,Resnet18_02
115605504.0,115404800.0,231010304.0,452864.0,63.76,"{'Total scalar accesses': 346415104.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 231411712.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 16760832.0, 'Op per Byte': 6.89}","{'Total scalar accesses': 475136.0, 'Op per Byte': 60.77}",31.97,12.5,7225344.0,744.14,5380.0,0.0,115605504.0,398.55,181.88,182.19,182.19,2227.08,1160.7,2104.31,6436.91,Resnet18_03
115605504.0,115404800.0,231010304.0,452864.0,63.76,"{'Total scalar accesses': 346415104.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 231411712.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 16760832.0, 'Op per Byte': 6.89}","{'Total scalar accesses': 475136.0, 'Op per Byte': 60.77}",31.97,12.5,7225344.0,744.14,5380.0,0.0,115605504.0,398.55,181.88,182.19,182.19,2227.08,1160.7,2104.31,6436.91,Resnet18_04
57802752.0,57702400.0,115505152.0,231680.0,62.32,"{'Total scalar accesses': 173006848.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 115605504.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 61931520.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 116408320.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 12689664.0, 'Op per Byte': 4.55}","{'Total scalar accesses': 432384.0, 'Op per Byte': 33.39}",31.97,12.5,3612672.0,507.21,1830.0,0.0,57802752.0,398.55,181.56,182.19,182.19,2247.64,1752.84,3829.93,8774.92,Resnet18_05
115605504.0,115505152.0,231110656.0,363008.0,79.58,"{'Total scalar accesses': 346415104.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 119734272.0, 'Op per Byte': 0.97}","{'Total scalar accesses': 238034944.0, 'Op per Byte': 0.49}",{},"{'Total scalar accesses': 26245120.0, 'Op per Byte': 4.4}","{'Total scalar accesses': 641024.0, 'Op per Byte': 45.07}",31.99,12.5,7225344.0,911.02,6580.0,0.0,115605504.0,398.55,181.88,182.19,182.19,2316.61,1779.96,2839.0,7880.39,Resnet18_06
6422528.0,6322176.0,12744704.0,158720.0,10.04,"{'Total scalar accesses': 19066880.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 12845056.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6488064.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 12744704.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 525312.0, 'Op per Byte': 12.13}","{'Total scalar accesses': 158720.0, 'Op per Byte': 10.04}",31.75,12.5,401408.0,105.68,42.4,0.0,6422528.0,398.55,179.35,182.19,182.19,2212.49,647.42,12653.06,16455.25,Resnet18_07
115605504.0,115505152.0,231110656.0,363008.0,79.58,"{'Total scalar accesses': 346415104.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 119734272.0, 'Op per Byte': 0.97}","{'Total scalar accesses': 238034944.0, 'Op per Byte': 0.49}",{},"{'Total scalar accesses': 26245120.0, 'Op per Byte': 4.4}","{'Total scalar accesses': 641024.0, 'Op per Byte': 45.07}",31.99,12.5,7225344.0,911.02,6580.0,0.0,115605504.0,398.55,181.88,182.19,182.19,2316.61,1779.96,2839.0,7880.39,Resnet18_08
115605504.0,115505152.0,231110656.0,363008.0,79.58,"{'Total scalar accesses': 346415104.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 119734272.0, 'Op per Byte': 0.97}","{'Total scalar accesses': 238034944.0, 'Op per Byte': 0.49}",{},"{'Total scalar accesses': 26245120.0, 'Op per Byte': 4.4}","{'Total scalar accesses': 641024.0, 'Op per Byte': 45.07}",31.99,12.5,7225344.0,911.02,6580.0,0.0,115605504.0,398.55,181.88,182.19,182.19,2316.61,1779.96,2839.0,7880.39,Resnet18_09
57802752.0,57752576.0,115555328.0,377856.0,38.23,"{'Total scalar accesses': 173006848.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 115605504.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 61931520.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 121626624.0, 'Op per Byte': 0.48}",{},"{'Total scalar accesses': 22100992.0, 'Op per Byte': 2.61}","{'Total scalar accesses': 410624.0, 'Op per Byte': 35.18}",31.99,12.5,3612672.0,578.56,2090.0,0.0,57802752.0,398.55,181.56,182.19,182.19,2388.71,3038.86,3637.19,10009.26,Resnet18_10
115605504.0,115555328.0,231160832.0,705536.0,40.95,"{'Total scalar accesses': 346615808.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 132120576.0, 'Op per Byte': 0.87}","{'Total scalar accesses': 234221568.0, 'Op per Byte': 0.49}",{},"{'Total scalar accesses': 35240960.0, 'Op per Byte': 3.28}","{'Total scalar accesses': 1164288.0, 'Op per Byte': 24.82}",31.99,12.5,7225344.0,1247.86,9020.0,0.0,115605504.0,398.55,182.04,182.19,182.19,2264.28,2428.43,5156.46,10794.15,Resnet18_11
6422528.0,6372352.0,12794880.0,108032.0,14.8,"{'Total scalar accesses': 18866176.0, 'Op per Byte': 0.34}","{'Total scalar accesses': 12845056.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6881280.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 12644352.0, 'Op per Byte': 0.51}",{},"{'Total scalar accesses': 2122240.0, 'Op per Byte': 3.01}","{'Total scalar accesses': 108032.0, 'Op per Byte': 14.8}",31.88,12.5,401408.0,92.56,37.2,0.0,6422528.0,398.55,176.5,182.19,182.19,2202.17,2657.99,8612.24,14411.85,Resnet18_12
115605504.0,115555328.0,231160832.0,705536.0,40.95,"{'Total scalar accesses': 346615808.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 132120576.0, 'Op per Byte': 0.87}","{'Total scalar accesses': 234221568.0, 'Op per Byte': 0.49}",{},"{'Total scalar accesses': 35240960.0, 'Op per Byte': 3.28}","{'Total scalar accesses': 1164288.0, 'Op per Byte': 24.82}",31.99,12.5,7225344.0,1247.86,9020.0,0.0,115605504.0,398.55,182.04,182.19,182.19,2264.28,2428.43,5156.46,10794.15,Resnet18_13
115605504.0,115555328.0,231160832.0,705536.0,40.95,"{'Total scalar accesses': 346615808.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 132120576.0, 'Op per Byte': 0.87}","{'Total scalar accesses': 234221568.0, 'Op per Byte': 0.49}",{},"{'Total scalar accesses': 35240960.0, 'Op per Byte': 3.28}","{'Total scalar accesses': 1164288.0, 'Op per Byte': 24.82}",31.99,12.5,7225344.0,1247.86,9020.0,0.0,115605504.0,398.55,182.04,182.19,182.19,2264.28,2428.43,5156.46,10794.15,Resnet18_14
57802752.0,57777664.0,115580416.0,1225472.0,11.79,"{'Total scalar accesses': 173358080.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 115605504.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 58982400.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 115580416.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 3633408.0, 'Op per Byte': 15.91}","{'Total scalar accesses': 1225472.0, 'Op per Byte': 11.79}",31.99,12.5,3612672.0,839.89,3030.0,0.0,57802752.0,398.55,182.12,182.19,182.19,2222.52,507.9,10854.88,14530.35,Resnet18_15
